true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.012724709697067738,iam,7957,commerce may be kept going - though if ever,17.02564,-5.1612015
0,0,0.0015605117660015821,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",10.832218,33.034264
1,1,0.9995794892311096,emuru,8143,"Easterly winds , on the other hand ,",-6.734795,-45.62982
1,1,0.9736528992652893,emuru,10368,"just dusty-grey but muddy , slimy even .",-21.522503,19.730202
0,0,7.197344942255768e-09,iam,8651,needed taxation in order to supplement,-13.241751,39.587013
0,0,2.8685234743086596e-10,iam,9756,glance at him . Evidently the other occupant,23.072426,-0.8725932
1,1,0.9986966252326965,emuru,7811,that children should be molly-coddled - they must be made,8.596773,-17.78459
0,0,5.512135885510361e-06,iam,8369,The truth is that good food offers a,-4.792995,16.196903
1,1,0.9999998807907104,emuru,8669,was quite alien to mediaeval thought - its,-12.084187,-6.814845
1,1,0.5660552382469177,emuru,10289,coronary . And in that second,-7.610642,-55.24081
1,1,0.9999945163726807,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-15.989676,-22.873693
0,0,9.251556321032695e-07,iam,9447,make a direct comparison between the radar,11.150541,24.418108
0,0,2.0494300656537234e-07,iam,7551,"bar , and there are cases where spacing is used as",18.17337,25.121653
0,0,3.089307210757397e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",17.632845,8.764139
1,1,0.9998144507408142,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-0.92868894,-13.010766
0,0,6.528717122478156e-09,iam,9523,ignorant child .,1.0305896,9.355007
0,0,1.5924921171972528e-05,iam,9234,Morfyyd Owen was already qualifying for,17.59823,6.8011713
0,0,3.439296181184659e-09,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",8.183483,46.23495
1,1,0.9998689889907837,emuru,7983,sympathy with the young wife,-4.571085,-47.659622
1,1,0.9997304081916809,emuru,9077,not submerged beneath a deep natural atmosphere .,3.327192,-29.006554
0,0,8.322970090901549e-10,iam,9300,his Eth . Morfydd thought of Dai . The,-5.155417,41.219128
1,1,0.9999939203262329,emuru,7761,the throne . He was quite prepared to be,-16.178871,-3.9817665
1,1,0.9999573230743408,emuru,7794,mutual . But Laud was no Romanizer . One of his,-14.965347,-14.907357
0,0,1.092736678920403e-09,iam,7790,Prayer Book in 1637 . Significantly this made,20.208403,10.6170635
0,0,2.060211379273369e-08,iam,8366,"banquets of later days , when the table",14.473547,23.557718
0,0,3.638010426243454e-08,iam,8816,"and Red Flag badge , thus presenting a much",-10.904193,39.841404
0,0,3.4172471519156034e-09,iam,7574,information is contemporaneous with the New Testament .,2.6706533,27.6694
