true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.2038951814174652,iam,7957,commerce may be kept going - though if ever,13.876664,-18.493347
0,0,0.003904191078618169,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-11.969041,-6.7349286
1,1,0.9999039173126221,emuru,8143,"Easterly winds , on the other hand ,",23.909185,19.27198
1,1,0.9789685010910034,emuru,10368,"just dusty-grey but muddy , slimy even .",-24.554268,3.6899147
0,0,7.268256041470522e-08,iam,8651,needed taxation in order to supplement,-28.870737,-12.902637
0,0,5.0359258985110955e-09,iam,9756,glance at him . Evidently the other occupant,14.485791,-22.310055
1,1,0.999358594417572,emuru,7811,that children should be molly-coddled - they must be made,17.833914,-3.6493182
0,0,1.8620698028826155e-05,iam,8369,The truth is that good food offers a,-14.519222,-0.82486886
1,1,0.9999998807907104,emuru,8669,was quite alien to mediaeval thought - its,-5.4219365,12.159585
1,1,0.6001741886138916,emuru,10289,coronary . And in that second,27.008318,23.892715
1,1,0.9999938011169434,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",8.5302105,14.134329
0,0,2.3953691652423004e-06,iam,9447,make a direct comparison between the radar,-20.610989,-6.252041
0,0,6.114511279520229e-07,iam,7551,"bar , and there are cases where spacing is used as",2.4149137,-1.3078732
0,0,0.0002513389044906944,iam,9614,"with Sir John ? "" she enquired cuttingly .",3.4215238,-16.792427
1,1,0.9999016523361206,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-2.6153233,14.403499
0,0,1.3504651619200558e-08,iam,9523,ignorant child .,-12.18641,5.637809
0,0,0.0001657521352171898,iam,9234,Morfyyd Owen was already qualifying for,4.97777,-15.611079
0,0,2.341356974966402e-08,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-8.826366,2.2023351
1,1,0.9999412298202515,emuru,7983,sympathy with the young wife,25.17144,18.406298
1,1,0.9999017715454102,emuru,9077,not submerged beneath a deep natural atmosphere .,11.940194,-1.9191527
0,0,3.607432796925991e-09,iam,9300,his Eth . Morfydd thought of Dai . The,-25.242523,-14.588896
1,1,0.9999960660934448,emuru,7761,the throne . He was quite prepared to be,-9.559633,16.467009
1,1,0.999906063079834,emuru,7794,mutual . But Laud was no Romanizer . One of his,5.9990396,14.050906
0,0,1.384155368100437e-08,iam,7790,Prayer Book in 1637 . Significantly this made,1.2276134,-15.011091
0,0,1.2055633646923525e-07,iam,8366,"banquets of later days , when the table",-5.758955,-4.208648
0,0,8.408102303292253e-08,iam,8816,"and Red Flag badge , thus presenting a much",-27.191404,-10.875715
0,0,2.4900474571154518e-08,iam,7574,information is contemporaneous with the New Testament .,-13.169064,-21.260807
0,0,2.499205509209901e-09,iam,10043,laid his hand on hers . Gay smiled at him,0.72456366,-5.6753254
1,1,0.9955671429634094,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,19.67135,5.006474
1,1,0.9977366924285889,emuru,9612,But Forrest might at least have tried . He 's,9.07238,2.6707954
0,0,0.003207392990589142,iam,8034,need for the text of the angel are quoted,-13.081087,0.9741241
0,0,0.06069815903902054,iam,10194,liked during his off-duty periods,-22.725452,9.009061
1,1,0.9997325539588928,emuru,9672,black eyes showing any emotion . With a,8.946629,6.467576
0,1,0.7120116949081421,iam,8862,"with a book on the life of Marx ,",27.036661,24.96538
0,0,8.700146159057454e-11,iam,7515,and who is now being pluckily convivial,-2.3515494,-1.8316243
1,1,0.9999624490737915,emuru,8517,"science of cookery , however , is",-8.90234,-20.48442
