true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.000900085608009249,iam,7957,commerce may be kept going - though if ever,1.8654401,15.403332
0,0,0.0003698428627103567,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-7.174279,14.257194
1,1,0.9986394047737122,emuru,8143,"Easterly winds , on the other hand ,",27.29829,0.67772436
1,1,0.9709042906761169,emuru,10368,"just dusty-grey but muddy , slimy even .",11.100571,-6.505542
0,0,1.9711837921931874e-06,iam,8651,needed taxation in order to supplement,29.019758,10.235414
0,0,1.4171817497299344e-07,iam,9756,glance at him . Evidently the other occupant,-6.817133,5.8396564
1,1,0.999421238899231,emuru,7811,that children should be molly-coddled - they must be made,23.514723,-7.8131366
0,0,0.00017136504175141454,iam,8369,The truth is that good food offers a,6.661204,18.700901
1,1,0.9999953508377075,emuru,8669,was quite alien to mediaeval thought - its,6.5833964,-9.157299
1,1,0.999750554561615,emuru,10289,coronary . And in that second,28.799963,5.760623
1,1,0.9999380111694336,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",8.581613,-12.618506
0,0,2.0448773341286142e-07,iam,9447,make a direct comparison between the radar,-22.529882,13.026534
0,0,1.6980355212581344e-05,iam,7551,"bar , and there are cases where spacing is used as",-4.1955953,-19.753157
0,0,0.0008931042393669486,iam,9614,"with Sir John ? "" she enquired cuttingly .",-14.746142,9.916255
1,1,0.9998160004615784,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",9.134805,-21.155973
0,0,4.293284305845191e-08,iam,9523,ignorant child .,-4.9044476,22.204931
0,0,0.00043019934673793614,iam,9234,Morfyyd Owen was already qualifying for,-10.23616,6.0523534
0,0,2.793794529054594e-08,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-4.502321,20.60585
1,1,0.9971582889556885,emuru,7983,sympathy with the young wife,20.66168,6.3332095
1,1,0.9996713399887085,emuru,9077,not submerged beneath a deep natural atmosphere .,22.336023,-6.240652
0,0,1.7774041960461062e-10,iam,9300,his Eth . Morfydd thought of Dai . The,-3.0795574,15.690434
1,1,0.9991167187690735,emuru,7761,the throne . He was quite prepared to be,6.4887123,1.0559126
1,1,0.9999363422393799,emuru,7794,mutual . But Laud was no Romanizer . One of his,2.49649,-16.071857
0,0,7.656714728909719e-07,iam,7790,Prayer Book in 1637 . Significantly this made,-16.91787,8.770989
0,0,5.904448130422679e-07,iam,8366,"banquets of later days , when the table",-20.12108,12.763846
0,0,1.548923501104582e-05,iam,8816,"and Red Flag badge , thus presenting a much",-8.619213,27.382473
0,0,1.5088352256498183e-06,iam,7574,information is contemporaneous with the New Testament .,-12.196396,9.755785
0,0,1.2681275052273122e-07,iam,10043,laid his hand on hers . Gay smiled at him,-18.499414,16.236134
1,1,0.9931117296218872,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,21.5999,-14.348747
1,1,0.9958634376525879,emuru,9612,But Forrest might at least have tried . He 's,2.4911127,-6.6229906
0,0,8.873899787431583e-05,iam,8034,need for the text of the angel are quoted,-1.4487578,12.787283
0,0,0.06259584426879883,iam,10194,liked during his off-duty periods,-2.4033806,-20.353283
1,1,0.9995808005332947,emuru,9672,black eyes showing any emotion . With a,11.860219,-12.036668
0,1,0.9004442691802979,iam,8862,"with a book on the life of Marx ,",26.35547,5.806476
0,0,3.40262822362547e-08,iam,7515,and who is now being pluckily convivial,-23.094746,4.815851
1,1,0.9991129040718079,emuru,8517,"science of cookery , however , is",8.798174,3.48623
1,1,0.9990713596343994,emuru,10282,"And as he spoke , the thought",19.751644,-8.837604
0,0,0.0008449563756585121,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-10.259591,15.541526
1,1,0.9997938275337219,emuru,8766,"such as serpents , frogs , and the like .",16.573542,-1.4573635
1,1,0.9992969036102295,emuru,8279,"The Merstham Tunnel , on the London-to-",17.085743,1.9876181
0,0,7.472840661648661e-05,iam,8078,revived with designs suitable for contemporary,-14.607904,-13.20603
0,0,0.004878447391092777,iam,9343,"rays , not seen or felt , which change our bodies .",-3.229686,-19.817196
1,1,0.9999599456787109,emuru,8476,"alive , dipped in treacle and swallowed",20.276863,-6.0895014
1,1,0.9997132420539856,emuru,8332,would not do ; nothing an American would not,8.320543,-11.496587
