true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,4.995638664695434e-05,iam,7957,commerce may be kept going - though if ever,10.018346,10.466857
0,0,5.638780567096546e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",20.033321,-2.6877258
1,1,0.9999709129333496,emuru,8143,"Easterly winds , on the other hand ,",-31.85275,11.87726
1,1,0.9985535740852356,emuru,10368,"just dusty-grey but muddy , slimy even .",-26.364864,22.755365
0,0,9.219129992743547e-08,iam,8651,needed taxation in order to supplement,-14.977747,25.383123
0,0,9.070550421874657e-10,iam,9756,glance at him . Evidently the other occupant,10.383756,3.9456732
1,1,0.999988317489624,emuru,7811,that children should be molly-coddled - they must be made,-20.93651,10.133616
0,0,1.9347775378264487e-05,iam,8369,The truth is that good food offers a,18.20343,15.395372
1,1,0.9999998807907104,emuru,8669,was quite alien to mediaeval thought - its,-19.195236,-9.023919
1,1,0.9999548196792603,emuru,10289,coronary . And in that second,-28.112045,7.0961604
1,1,0.9999994039535522,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-13.896218,-2.208777
0,0,1.4471632781010157e-09,iam,9447,make a direct comparison between the radar,27.179373,-9.200514
0,0,3.009121201102971e-06,iam,7551,"bar , and there are cases where spacing is used as",-2.867558,-2.821159
0,0,0.000542597786989063,iam,9614,"with Sir John ? "" she enquired cuttingly .",12.817526,0.084956095
1,1,0.9999912977218628,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-12.869945,-9.423581
0,0,6.022741194655623e-10,iam,9523,ignorant child .,24.868587,-5.5722666
0,0,0.0003024164179805666,iam,9234,Morfyyd Owen was already qualifying for,11.675718,1.2824526
0,0,1.401381094501275e-10,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",24.024899,-4.3579593
1,1,0.9948709011077881,emuru,7983,sympathy with the young wife,-20.742144,13.922679
1,1,0.999964714050293,emuru,9077,not submerged beneath a deep natural atmosphere .,-20.759487,13.184066
0,0,5.097328266943923e-13,iam,9300,his Eth . Morfydd thought of Dai . The,17.865728,3.1564195
1,1,0.9999796152114868,emuru,7761,the throne . He was quite prepared to be,-4.3232365,13.934447
1,1,0.9999995231628418,emuru,7794,mutual . But Laud was no Romanizer . One of his,-10.113502,-0.7906436
0,0,1.1608699779230847e-08,iam,7790,Prayer Book in 1637 . Significantly this made,12.143594,-2.5252194
0,0,2.904486873234191e-09,iam,8366,"banquets of later days , when the table",28.063019,-7.3383384
0,0,1.033174726217112e-06,iam,8816,"and Red Flag badge , thus presenting a much",32.21205,-10.268974
0,0,1.6493121535177124e-08,iam,7574,information is contemporaneous with the New Testament .,17.7209,-0.11735399
0,0,3.4319291852824563e-10,iam,10043,laid his hand on hers . Gay smiled at him,28.92453,-6.620762
1,1,0.9986655712127686,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-27.068134,-0.5620318
1,1,0.9997884631156921,emuru,9612,But Forrest might at least have tried . He 's,3.0858295,9.254476
0,0,5.2815630624536425e-06,iam,8034,need for the text of the angel are quoted,18.489407,11.009922
0,0,0.0038474458269774914,iam,10194,liked during his off-duty periods,-5.2799096,-1.3724328
1,1,0.9999891519546509,emuru,9672,black eyes showing any emotion . With a,-16.128191,-0.9112218
0,1,0.8641912937164307,iam,8862,"with a book on the life of Marx ,",-26.644625,9.404746
0,0,1.4132561787505438e-10,iam,7515,and who is now being pluckily convivial,18.898197,-10.981494
1,1,0.9999915361404419,emuru,8517,"science of cookery , however , is",-3.4241529,12.576799
1,1,0.9997690320014954,emuru,10282,"And as he spoke , the thought",-21.194532,6.901164
0,0,7.534492760896683e-05,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",22.044344,4.255675
1,1,0.999993085861206,emuru,8766,"such as serpents , frogs , and the like .",-12.246068,10.753653
1,1,0.9999707937240601,emuru,8279,"The Merstham Tunnel , on the London-to-",-11.2469,14.651585
0,0,2.684512764972169e-06,iam,8078,revived with designs suitable for contemporary,-2.3061476,-19.324059
0,0,0.0010794525733217597,iam,9343,"rays , not seen or felt , which change our bodies .",-4.139495,-2.18729
1,1,0.9999994039535522,emuru,8476,"alive , dipped in treacle and swallowed",-19.84365,10.808334
1,1,0.9999865293502808,emuru,8332,would not do ; nothing an American would not,-17.775734,-0.2637065
0,0,2.7870457941503446e-08,iam,9674,"Willie Kim was speechless , only his slant",18.142063,-8.830253
1,1,0.9821951985359192,emuru,9626,on the estate was a major error :,-30.295206,13.073796
1,1,1.0,emuru,10050,"would never be jealous again , would even take Larry's advice and",-15.787916,-3.0777915
0,0,1.413427419549862e-08,iam,8344,ladies toying with these primitive morsels in the,8.599595,-14.060793
1,1,0.999995231628418,emuru,7504,strike . It showed Britain today through the eyes,-10.965693,-0.58507776
0,0,1.1372464081560452e-09,iam,7915,to live a day at a time . Even those who,19.63628,-13.551053
0,0,1.8640580492501613e-06,iam,7491,"him of his ugly battle-dress , to leave him for",14.710662,0.24990875
1,1,0.9999350309371948,emuru,8707,officials had formerly made private bargains,-22.558064,12.130397
0,0,2.5751446628419217e-06,iam,8207,named Brown .,30.022448,8.16443
1,1,0.9997902512550354,emuru,8204,"which to proceed , and the inquest was",-27.154829,13.835437
0,0,1.6093527552274445e-11,iam,8653,taxation not merely for defence and,16.516125,-21.966055
0,0,6.72596200956832e-08,iam,10049,"moon was just rising over the rocks , then",27.314669,5.075652
0,0,3.0611271295555298e-09,iam,9237,""" Where are we going , Mam ? "" inquired little",6.44032,-11.150659
0,0,6.170177146991307e-10,iam,8773,contraction of the ventricles . Going on in Chapter Three,16.530558,-18.76649
0,0,0.00037768151378259063,iam,9862,""" Ever been to Fleet Street ? "" asked Bawley .",12.889091,-4.227321
1,1,0.999514102935791,emuru,7953,aimlessly along is more wearying than any-,-19.562456,-10.890766
0,0,0.000397428433643654,iam,9857,give me a ring at this number and I 'll,-1.7196721,-12.764062
1,1,0.9999955892562866,emuru,8655,"crown lands , the fees of feudalism",0.71216124,0.9281213
0,0,1.7048287759280356e-07,iam,8237,yet so strange were the circumstances that it was,28.690224,-8.982486
1,1,0.9999994039535522,emuru,8650,those in authority to find some simple,-15.163343,12.814527
0,0,2.2712151603876407e-10,iam,8248,"of a railway will be worse than Ipecacuanha , """,19.849712,-5.4282417
1,1,0.998091995716095,emuru,8634,"Calais , Cherbourg , Brest , Bordeaux and Bayonne ,",-33.108482,7.938316
0,0,0.024722443893551826,iam,9937,"unreadable as a rock . "" Let 's get over to the",-28.554348,14.9657135
1,1,0.9998371601104736,emuru,8028,texts to support the thesis of R. Joshua b. Levi .,-23.789137,-0.78803074
1,1,0.9865411520004272,emuru,9221,precious than jewels . Though Mofydd Owen,-29.654509,13.462714
0,0,4.037219447639018e-10,iam,8540,waxed enthusiastic about Bouilla-,32.893436,7.180633
0,0,0.0011301576159894466,iam,9035,"Finally , being so obviously on their own ,",-22.529518,-4.62942
0,0,0.00020685770141426474,iam,9626,on the estate was a major error :,-4.656979,-1.6477841
1,1,0.9999862909317017,emuru,9307,On the back seat Stan Hayball embraced,0.22283931,0.74957675
1,1,0.999314546585083,emuru,8822,"on West Street , where a successful Sunday",-25.56289,-1.2128075
1,1,0.9999105930328369,emuru,8946,"over his head and yawned agape ,",-6.673903,8.322261
1,1,0.999207079410553,emuru,7992,into a dull routine . I have great,-3.5163264,-15.58106
1,1,0.9995211362838745,emuru,8486,"it and dry it , in which form , dusted",-26.554499,22.282711
1,1,0.9999947547912598,emuru,9636,"would be 3"" plenty , plenty sad "" not to be back",-10.877881,3.4989579
0,0,5.435752427729312e-06,iam,9210,"reasonably . "" Start running punctual and where are you ? People get",6.1770344,-14.290179
0,0,3.8852372199471574e-06,iam,9787,""" Oh , the Press , "" said Seaweed . "" Down here on business , Mr.",27.34594,-4.844215
1,1,0.9999996423721313,emuru,8066,' The Holy Spirit manifested itself in three places :,-12.961255,-7.5539665
0,0,0.007817904464900494,iam,9197,"trees and bushes , that stood well out over the lake .",27.647932,8.756935
1,1,1.0,emuru,7542,written in Greek . A modern text of the,-14.278347,12.924062
1,1,0.9986380934715271,emuru,10291,will contact your new doctor,-0.19030559,9.90892
1,1,0.9999998807907104,emuru,7971,"As it is , with so much of our life already",-10.816899,-5.1708565
0,0,1.7525176865262893e-09,iam,7840,the way to face life . To see all the latent,19.230509,-14.244258
1,1,0.9999622106552124,emuru,8701,"first , the Church , which wisely followed the lead",-24.840866,-7.2417097
0,0,0.00048703013453632593,iam,8122,be accidental . Yet there will always be some,-8.210567,18.647692
0,0,5.319056413100043e-07,iam,9183,"any rate they remained with us , perhaps",5.7535663,-13.425887
0,0,0.00025410091620869935,iam,10209,dancing with a blonde at eight-thirty that,3.8860707,-8.628473
1,1,0.9998811483383179,emuru,7654,"Then the whole earth will be His Altar . "" And it",-20.17374,-4.013469
0,0,0.00032004949753172696,iam,9196,"was impatient for it . This afternoon , then , we climbed",23.104818,1.7772692
0,0,3.8677917757468094e-08,iam,8466,"According to Pliny , and others , certain herbs",24.34807,-1.0694674
0,0,3.1166641489832614e-10,iam,7734,how to live and accept all the bitterness,34.185417,4.186807
0,0,3.9704303733678614e-10,iam,8396,delicacy - sought inspiration at last from,34.361706,-10.687138
0,0,7.792132494799375e-10,iam,8640,then the primary essential to the success,7.9146123,-21.571642
1,1,0.9999731779098511,emuru,9201,""" Good-bye , Dai , "" said Morfydd , smiling from the bottom step .",-7.753477,-16.03904
