true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.4997434914112091,iam,7957,commerce may be kept going - though if ever,10.108998,-10.68786
0,1,0.9091211557388306,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-18.734167,-15.205401
1,1,0.9996991157531738,emuru,8143,"Easterly winds , on the other hand ,",9.221485,19.611374
1,1,0.9999188184738159,emuru,10368,"just dusty-grey but muddy , slimy even .",-1.9590188,20.19986
0,1,0.6863480806350708,iam,8651,needed taxation in order to supplement,-20.04081,-23.670788
0,0,0.0006948933587409556,iam,9756,glance at him . Evidently the other occupant,15.770386,-21.744545
1,1,0.999904990196228,emuru,7811,that children should be molly-coddled - they must be made,0.8187545,18.710175
0,0,0.41819408535957336,iam,8369,The truth is that good food offers a,4.1455326,-18.642334
1,1,0.9810090065002441,emuru,8669,was quite alien to mediaeval thought - its,25.31477,8.124719
1,1,0.999998927116394,emuru,10289,coronary . And in that second,-24.544989,31.094618
1,1,0.9405130743980408,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",26.907658,6.929602
0,0,0.3560188114643097,iam,9447,make a direct comparison between the radar,31.854656,4.4015303
0,0,0.12696728110313416,iam,7551,"bar , and there are cases where spacing is used as",32.17836,3.477736
0,0,0.2777222990989685,iam,9614,"with Sir John ? "" she enquired cuttingly .",32.628376,4.6909513
1,1,0.8245809674263,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",31.25063,5.7454953
0,0,0.17839747667312622,iam,9523,ignorant child .,33.67525,5.2430863
0,1,0.8012828826904297,iam,9234,Morfyyd Owen was already qualifying for,-4.3788676,-21.56253
0,0,0.017459329217672348,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-4.2218804,-26.318726
1,1,0.9998443126678467,emuru,7983,sympathy with the young wife,13.703323,10.890512
1,1,0.9999268054962158,emuru,9077,not submerged beneath a deep natural atmosphere .,0.3520237,24.230852
0,0,0.002404889790341258,iam,9300,his Eth . Morfydd thought of Dai . The,-11.265637,-27.207659
1,1,0.999998927116394,emuru,7761,the throne . He was quite prepared to be,-24.92245,14.556254
1,1,0.9999997615814209,emuru,7794,mutual . But Laud was no Romanizer . One of his,-25.059195,21.873304
0,0,0.0780394971370697,iam,7790,Prayer Book in 1637 . Significantly this made,-4.772901,-25.627884
0,0,0.00014729981194250286,iam,8366,"banquets of later days , when the table",17.163969,-22.036894
0,0,0.41467034816741943,iam,8816,"and Red Flag badge , thus presenting a much",-14.336984,-21.655792
0,0,0.16185007989406586,iam,7574,information is contemporaneous with the New Testament .,-18.795074,-24.276398
0,0,0.0069129387848079205,iam,10043,laid his hand on hers . Gay smiled at him,16.09374,-17.320272
1,1,0.9999997615814209,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-21.228382,19.794264
1,1,0.9998582601547241,emuru,9612,But Forrest might at least have tried . He 's,3.182906,24.047642
0,0,0.2931961417198181,iam,8034,need for the text of the angel are quoted,1.7590575,-21.395529
0,1,0.8827192187309265,iam,10194,liked during his off-duty periods,-1.8685052,-17.214607
1,1,0.9997583031654358,emuru,9672,black eyes showing any emotion . With a,9.426119,19.937073
0,1,0.9274942874908447,iam,8862,"with a book on the life of Marx ,",10.36999,-6.2594986
0,0,0.11322622001171112,iam,7515,and who is now being pluckily convivial,12.79395,-14.888424
1,1,0.9999829530715942,emuru,8517,"science of cookery , however , is",-9.702451,25.922567
1,1,0.9739406108856201,emuru,10282,"And as he spoke , the thought",24.667025,9.2068405
0,1,0.9885886907577515,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-22.198805,-20.579166
1,1,0.9996411800384521,emuru,8766,"such as serpents , frogs , and the like .",12.9723015,18.579397
1,1,0.9999942779541016,emuru,8279,"The Merstham Tunnel , on the London-to-",-14.726064,19.118498
0,0,0.41163283586502075,iam,8078,revived with designs suitable for contemporary,-2.103079,-20.939724
0,1,0.5744534134864807,iam,9343,"rays , not seen or felt , which change our bodies .",-17.017683,-14.356642
1,1,0.9999908208847046,emuru,8476,"alive , dipped in treacle and swallowed",-11.725604,21.317562
1,1,0.999996542930603,emuru,8332,would not do ; nothing an American would not,-10.01422,16.550043
0,1,0.9610735177993774,iam,9674,"Willie Kim was speechless , only his slant",-12.309605,-16.507765
1,1,0.9999914169311523,emuru,9626,on the estate was a major error :,-9.195026,16.583523
1,1,1.0,emuru,10050,"would never be jealous again , would even take Larry's advice and",-21.81427,22.075678
0,0,5.988901466480456e-05,iam,8344,ladies toying with these primitive morsels in the,19.492249,-20.116749
1,1,0.9999991655349731,emuru,7504,strike . It showed Britain today through the eyes,-21.15286,26.073662
0,1,0.9517264366149902,iam,7915,to live a day at a time . Even those who,-15.009611,-19.500631
0,0,0.09341255575418472,iam,7491,"him of his ugly battle-dress , to leave him for",4.6417885,-15.833041
1,1,0.9981904625892639,emuru,8707,officials had formerly made private bargains,7.369276,13.461335
0,0,0.326863557100296,iam,8207,named Brown .,27.333042,-6.0994987
1,1,0.9999803304672241,emuru,8204,"which to proceed , and the inquest was",-10.359586,27.857985
0,1,0.7856011986732483,iam,8653,taxation not merely for defence and,-13.980238,-25.07386
0,0,0.001097461674362421,iam,10049,"moon was just rising over the rocks , then",16.462778,-19.499483
0,0,0.23859982192516327,iam,9237,""" Where are we going , Mam ? "" inquired little",29.562452,2.358443
0,0,0.3185470402240753,iam,8773,contraction of the ventricles . Going on in Chapter Three,27.999727,-0.3930083
0,0,0.16669908165931702,iam,9862,""" Ever been to Fleet Street ? "" asked Bawley .",30.294523,3.029508
1,1,0.9769631624221802,emuru,7953,aimlessly along is more wearying than any-,23.290522,5.632618
0,0,0.232782244682312,iam,9857,give me a ring at this number and I 'll,30.581188,3.633691
1,1,0.9998960494995117,emuru,8655,"crown lands , the fees of feudalism",3.7317126,11.921839
0,0,0.22283628582954407,iam,8237,yet so strange were the circumstances that it was,29.210505,1.4928628
1,1,0.9999996423721313,emuru,8650,those in authority to find some simple,-23.375849,26.933277
0,0,0.06036767363548279,iam,8248,"of a railway will be worse than Ipecacuanha , """,9.016159,-16.174664
1,1,0.9990178346633911,emuru,8634,"Calais , Cherbourg , Brest , Bordeaux and Bayonne ,",16.429115,13.696841
0,1,0.9670900702476501,iam,9937,"unreadable as a rock . "" Let 's get over to the",10.194902,-5.0612836
1,1,0.9977001547813416,emuru,8028,texts to support the thesis of R. Joshua b. Levi .,16.412676,14.837774
1,1,0.9996533393859863,emuru,9221,precious than jewels . Though Mofydd Owen,10.015641,19.025703
0,0,0.3532981872558594,iam,8540,waxed enthusiastic about Bouilla-,-19.539267,-26.428444
0,0,0.35813575983047485,iam,9035,"Finally , being so obviously on their own ,",22.363634,-4.9331303
0,1,0.8349276185035706,iam,9626,on the estate was a major error :,17.805628,-5.9160247
1,1,0.9999998807907104,emuru,9307,On the back seat Stan Hayball embraced,-26.96809,17.744125
1,1,0.9967054724693298,emuru,8822,"on West Street , where a successful Sunday",8.19575,11.588263
1,1,0.9999910593032837,emuru,8946,"over his head and yawned agape ,",-9.047729,27.46001
1,1,0.9987414479255676,emuru,7992,into a dull routine . I have great,17.5609,15.219121
1,1,0.9999926090240479,emuru,8486,"it and dry it , in which form , dusted",-12.555442,28.591711
1,1,0.9997262358665466,emuru,9636,"would be 3"" plenty , plenty sad "" not to be back",4.778965,19.038519
0,0,0.0002496720408089459,iam,9210,"reasonably . "" Start running punctual and where are you ? People get",16.67559,-20.602594
0,1,0.9759438037872314,iam,9787,""" Oh , the Press , "" said Seaweed . "" Down here on business , Mr.",-20.069387,-15.975166
1,1,0.9990277290344238,emuru,8066,' The Holy Spirit manifested itself in three places :,15.569124,10.308771
0,1,0.9477901458740234,iam,9197,"trees and bushes , that stood well out over the lake .",-22.989864,-23.043839
1,1,0.9985816478729248,emuru,7542,written in Greek . A modern text of the,18.046675,14.301627
1,1,0.9934183359146118,emuru,10291,will contact your new doctor,20.064465,8.846823
1,1,0.9947128891944885,emuru,7971,"As it is , with so much of our life already",15.77751,14.856264
0,1,0.842843770980835,iam,7840,the way to face life . To see all the latent,24.725986,-6.015818
1,1,0.9940470457077026,emuru,8701,"first , the Church , which wisely followed the lead",20.547987,7.961642
0,1,0.7741284966468811,iam,8122,be accidental . Yet there will always be some,23.932392,-6.6785135
0,1,0.5667884945869446,iam,9183,"any rate they remained with us , perhaps",24.109726,-7.179277
0,1,0.8635459542274475,iam,10209,dancing with a blonde at eight-thirty that,24.305998,-4.6732774
1,1,0.9998214840888977,emuru,7654,"Then the whole earth will be His Altar . "" And it",7.29648,20.048601
0,1,0.9210547208786011,iam,9196,"was impatient for it . This afternoon , then , we climbed",-22.166027,-22.303608
0,0,0.18278758227825165,iam,8466,"According to Pliny , and others , certain herbs",27.22917,-5.0095873
0,0,0.006844156421720982,iam,7734,how to live and accept all the bitterness,10.244158,-18.554451
0,0,3.8010100524843438e-06,iam,8396,delicacy - sought inspiration at last from,20.536173,-20.370306
0,0,0.0895707979798317,iam,8640,then the primary essential to the success,19.523746,-9.357203
