true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.008227362297475338,iam,7957,commerce may be kept going - though if ever,-31.629234,26.303656
0,0,1.1204998372704722e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-43.203217,4.1218185
1,1,0.9999767541885376,emuru,8143,"Easterly winds , on the other hand ,",59.602238,-21.277626
1,1,0.9983298182487488,emuru,10368,"just dusty-grey but muddy , slimy even .",-2.3824086,-22.62776
0,0,1.383383551001316e-05,iam,8651,needed taxation in order to supplement,1.406562,-21.564344
0,0,1.3624267012346536e-06,iam,9756,glance at him . Evidently the other occupant,-29.37365,30.857304
1,1,0.9991903901100159,emuru,7811,that children should be molly-coddled - they must be made,5.892649,-17.74812
0,0,3.592730990931159e-06,iam,8369,The truth is that good food offers a,-27.540674,9.667277
1,1,0.9999985694885254,emuru,8669,was quite alien to mediaeval thought - its,13.4904,0.17011917
1,1,0.980968713760376,emuru,10289,coronary . And in that second,66.88995,-17.37221
1,1,0.9999995231628418,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",11.978615,-0.7740431
0,0,1.4031274986336939e-05,iam,9447,make a direct comparison between the radar,-18.307655,0.9561524
0,0,0.0004835293220821768,iam,7551,"bar , and there are cases where spacing is used as",-3.4741585,1.8354827
0,0,6.428637425415218e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",-17.884802,18.470957
1,1,1.0,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",32.442757,-15.289452
0,0,2.0490408132900484e-05,iam,9523,ignorant child .,-8.142541,-15.604436
0,0,1.114817109737487e-07,iam,9234,Morfyyd Owen was already qualifying for,-17.603922,20.641893
0,0,6.145482700503635e-08,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-20.605347,-1.2285582
1,1,0.9999734163284302,emuru,7983,sympathy with the young wife,61.075294,-23.015997
1,1,0.9999785423278809,emuru,9077,not submerged beneath a deep natural atmosphere .,36.277733,-25.555182
0,0,5.355240659810079e-07,iam,9300,his Eth . Morfydd thought of Dai . The,-21.0829,-7.4792867
1,1,0.9971615076065063,emuru,7761,the throne . He was quite prepared to be,2.3796933,-0.48791745
1,1,0.9999964237213135,emuru,7794,mutual . But Laud was no Romanizer . One of his,23.374863,-2.969374
0,0,1.3752051017945632e-06,iam,7790,Prayer Book in 1637 . Significantly this made,-14.529412,16.403358
0,0,6.283200036705239e-06,iam,8366,"banquets of later days , when the table",-15.825883,1.7541343
0,0,0.00015267456183210015,iam,8816,"and Red Flag badge , thus presenting a much",-23.626963,-13.668655
0,0,6.833002407802269e-05,iam,7574,information is contemporaneous with the New Testament .,-36.012535,-6.9924955
0,0,0.0001411615958204493,iam,10043,laid his hand on hers . Gay smiled at him,-5.324102,10.105243
1,1,0.9999933242797852,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,27.745459,-8.11635
1,1,0.9998812675476074,emuru,9612,But Forrest might at least have tried . He 's,42.23035,-25.33219
0,0,4.7774615268281195e-06,iam,8034,need for the text of the angel are quoted,-20.435364,13.19539
0,0,3.3272019209107384e-05,iam,10194,liked during his off-duty periods,-15.064502,26.624044
1,1,0.9999462366104126,emuru,9672,black eyes showing any emotion . With a,42.707363,-23.79213
0,0,0.14270296692848206,iam,8862,"with a book on the life of Marx ,",65.1862,-19.996706
0,0,7.450529437846853e-07,iam,7515,and who is now being pluckily convivial,-11.78373,-1.8626739
1,1,0.9999868869781494,emuru,8517,"science of cookery , however , is",-36.48298,-7.5600743
1,1,0.9999996423721313,emuru,10282,"And as he spoke , the thought",60.004475,-21.103798
0,0,0.0006782037089578807,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-32.409554,-4.857596
1,1,0.9999943971633911,emuru,8766,"such as serpents , frogs , and the like .",29.473368,-19.929966
1,1,1.0,emuru,8279,"The Merstham Tunnel , on the London-to-",17.011625,13.027903
0,0,1.0558878784650005e-06,iam,8078,revived with designs suitable for contemporary,-7.524229,22.766037
0,0,3.8632728660559223e-07,iam,9343,"rays , not seen or felt , which change our bodies .",-14.978671,24.746326
1,1,0.9999992847442627,emuru,8476,"alive , dipped in treacle and swallowed",51.515236,-20.89742
1,1,0.9999744892120361,emuru,8332,would not do ; nothing an American would not,13.593727,-1.3149985
0,0,1.042962125552549e-07,iam,9674,"Willie Kim was speechless , only his slant",-40.851322,1.4385122
1,1,0.9987066984176636,emuru,9626,on the estate was a major error :,64.98026,-18.028929
