true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.003779190592467785,iam,7957,commerce may be kept going - though if ever,1.8654401,15.403332
0,0,0.00025065522640943527,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-7.174279,14.257194
1,1,0.9997691512107849,emuru,8143,"Easterly winds , on the other hand ,",27.29829,0.67772436
1,1,0.9959474205970764,emuru,10368,"just dusty-grey but muddy , slimy even .",11.100571,-6.505542
0,0,2.1338887279398477e-07,iam,8651,needed taxation in order to supplement,29.019758,10.235414
0,0,2.769625861986924e-09,iam,9756,glance at him . Evidently the other occupant,-6.817133,5.8396564
1,1,0.9999476671218872,emuru,7811,that children should be molly-coddled - they must be made,23.514723,-7.8131366
0,0,2.6167148462263867e-05,iam,8369,The truth is that good food offers a,6.661204,18.700901
1,1,0.9999997615814209,emuru,8669,was quite alien to mediaeval thought - its,6.5833964,-9.157299
1,1,0.9998601675033569,emuru,10289,coronary . And in that second,28.799963,5.760623
1,1,0.9999967813491821,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",8.581613,-12.618506
0,0,6.015350439980693e-09,iam,9447,make a direct comparison between the radar,-22.529882,13.026534
0,0,2.0872848836006597e-06,iam,7551,"bar , and there are cases where spacing is used as",-4.1955953,-19.753157
0,0,0.0004932075971737504,iam,9614,"with Sir John ? "" she enquired cuttingly .",-14.746142,9.916255
1,1,0.999974250793457,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",9.134805,-21.155973
0,0,1.966296708788562e-10,iam,9523,ignorant child .,-4.9044476,22.204931
0,0,0.00018826893938239664,iam,9234,Morfyyd Owen was already qualifying for,-10.23616,6.0523534
0,0,2.3901776113888218e-09,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-4.502321,20.60585
1,1,0.9999716281890869,emuru,7983,sympathy with the young wife,20.66168,6.3332095
1,1,0.9999881982803345,emuru,9077,not submerged beneath a deep natural atmosphere .,22.336023,-6.240652
0,0,1.2470454356650063e-12,iam,9300,his Eth . Morfydd thought of Dai . The,-3.0795574,15.690434
1,1,0.9998540878295898,emuru,7761,the throne . He was quite prepared to be,6.4887123,1.0559126
1,1,0.9999943971633911,emuru,7794,mutual . But Laud was no Romanizer . One of his,2.49649,-16.071857
0,0,4.9646196487174166e-08,iam,7790,Prayer Book in 1637 . Significantly this made,-16.91787,8.770989
0,0,7.347269015411939e-09,iam,8366,"banquets of later days , when the table",-20.12108,12.763846
0,0,2.455487219776842e-06,iam,8816,"and Red Flag badge , thus presenting a much",-8.619213,27.382473
0,0,2.7371774180551256e-08,iam,7574,information is contemporaneous with the New Testament .,-12.196396,9.755785
0,0,6.14287565259275e-10,iam,10043,laid his hand on hers . Gay smiled at him,-18.499414,16.236134
1,1,0.9971338510513306,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,21.5999,-14.348747
1,1,0.9994615912437439,emuru,9612,But Forrest might at least have tried . He 's,2.4911127,-6.6229906
0,0,3.4364184102742e-05,iam,8034,need for the text of the angel are quoted,-1.4487578,12.787283
0,0,0.016067255288362503,iam,10194,liked during his off-duty periods,-2.4033806,-20.353283
1,1,0.9999408721923828,emuru,9672,black eyes showing any emotion . With a,11.860219,-12.036668
0,1,0.8027970790863037,iam,8862,"with a book on the life of Marx ,",26.35547,5.806476
0,0,1.9928747541086977e-09,iam,7515,and who is now being pluckily convivial,-23.094746,4.815851
1,1,0.9999661445617676,emuru,8517,"science of cookery , however , is",8.798174,3.48623
1,1,0.9995978474617004,emuru,10282,"And as he spoke , the thought",19.751644,-8.837604
0,0,0.00014264823403209448,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-10.259591,15.541526
1,1,0.9999755620956421,emuru,8766,"such as serpents , frogs , and the like .",16.573542,-1.4573635
1,1,0.9999380111694336,emuru,8279,"The Merstham Tunnel , on the London-to-",17.085743,1.9876181
0,0,3.7690429053327534e-06,iam,8078,revived with designs suitable for contemporary,-14.607904,-13.20603
0,0,0.0025348810013383627,iam,9343,"rays , not seen or felt , which change our bodies .",-3.229686,-19.817196
1,1,0.9999963045120239,emuru,8476,"alive , dipped in treacle and swallowed",20.276863,-6.0895014
1,1,0.9999752044677734,emuru,8332,would not do ; nothing an American would not,8.320543,-11.496587
0,0,7.853408874325396e-07,iam,9674,"Willie Kim was speechless , only his slant",-15.836534,11.889395
1,1,0.9545491933822632,emuru,9626,on the estate was a major error :,29.819399,2.2937682
1,1,0.9999996423721313,emuru,10050,"would never be jealous again , would even take Larry's advice and",10.975753,-14.504265
0,0,1.2585918973684329e-08,iam,8344,ladies toying with these primitive morsels in the,-20.51088,-0.89027727
1,1,0.999993085861206,emuru,7504,strike . It showed Britain today through the eyes,4.12372,-15.628189
0,0,1.1078915562734437e-08,iam,7915,to live a day at a time . Even those who,-23.549215,2.4940574
0,0,4.077506673638709e-06,iam,7491,"him of his ugly battle-dress , to leave him for",-11.147267,9.388248
1,1,0.9999692440032959,emuru,8707,officials had formerly made private bargains,24.432514,-5.450507
0,0,8.092162602224562e-07,iam,8207,named Brown .,-10.51566,24.968742
