true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.0007908425177447498,iam,7957,commerce may be kept going - though if ever,4.926629,4.7153187
0,0,7.538316276622936e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",11.069858,13.34136
1,1,0.9940634369850159,emuru,8143,"Easterly winds , on the other hand ,",-26.504974,0.56790227
1,1,0.6740408539772034,emuru,10368,"just dusty-grey but muddy , slimy even .",-4.7985096,24.025162
0,0,3.7834265640412923e-06,iam,8651,needed taxation in order to supplement,-28.417814,10.476028
0,0,1.9133091200274066e-07,iam,9756,glance at him . Evidently the other occupant,13.5997925,4.5156446
1,1,0.9994494318962097,emuru,7811,that children should be molly-coddled - they must be made,-23.647717,-4.659954
0,0,2.106160536641255e-05,iam,8369,The truth is that good food offers a,-2.9367168,13.092991
1,1,0.9997445940971375,emuru,8669,was quite alien to mediaeval thought - its,-8.655032,-7.5946474
1,1,0.9995693564414978,emuru,10289,coronary . And in that second,-29.682503,5.4244523
1,1,0.9992747902870178,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-5.8549023,-11.742418
0,0,1.4971676121078303e-09,iam,9447,make a direct comparison between the radar,23.431368,5.586186
0,0,3.226308308512671e-06,iam,7551,"bar , and there are cases where spacing is used as",-1.8719106,-24.458632
0,0,0.00017951634072232991,iam,9614,"with Sir John ? "" she enquired cuttingly .",8.280883,6.9627237
1,1,0.9994910955429077,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-12.365168,-19.692839
0,0,3.726223241073967e-08,iam,9523,ignorant child .,1.8083416,16.546227
0,0,0.00016489619156345725,iam,9234,Morfyyd Owen was already qualifying for,11.260131,5.763164
0,0,3.261815817445779e-10,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",1.7769651,14.880693
1,1,0.9681844711303711,emuru,7983,sympathy with the young wife,-23.708899,3.6804295
1,1,0.9979608058929443,emuru,9077,not submerged beneath a deep natural atmosphere .,-22.51133,-2.208269
0,0,2.09038602400069e-11,iam,9300,his Eth . Morfydd thought of Dai . The,18.458067,11.10029
1,1,0.9748736023902893,emuru,7761,the throne . He was quite prepared to be,1.0466996,-20.382397
1,1,0.9968585968017578,emuru,7794,mutual . But Laud was no Romanizer . One of his,-3.1792455,-17.422022
0,0,5.071149189461721e-07,iam,7790,Prayer Book in 1637 . Significantly this made,17.747572,4.6531076
0,0,2.993990619870601e-07,iam,8366,"banquets of later days , when the table",23.703236,7.5525775
0,0,2.2666625227429904e-05,iam,8816,"and Red Flag badge , thus presenting a much",21.780575,17.287626
0,0,4.720546087355615e-07,iam,7574,information is contemporaneous with the New Testament .,10.928511,8.605701
0,0,2.8389334261191834e-07,iam,10043,laid his hand on hers . Gay smiled at him,18.680315,24.205053
1,1,0.9464542865753174,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-24.11623,-10.061311
1,1,0.9905862212181091,emuru,9612,But Forrest might at least have tried . He 's,-14.959302,-0.6674654
0,0,4.749903382617049e-06,iam,8034,need for the text of the angel are quoted,5.039624,9.041131
0,0,0.0074317133985459805,iam,10194,liked during his off-duty periods,-0.9915873,-22.836407
1,1,0.9903210997581482,emuru,9672,black eyes showing any emotion . With a,-14.057123,-9.878084
0,1,0.517718493938446,iam,8862,"with a book on the life of Marx ,",-26.83312,5.9732
0,0,4.371059070251704e-09,iam,7515,and who is now being pluckily convivial,27.537477,0.5644339
1,1,0.9654080271720886,emuru,8517,"science of cookery , however , is",-9.311266,8.335391
1,1,0.9830416440963745,emuru,10282,"And as he spoke , the thought",-21.319921,-5.2348356
0,0,0.00027433011564426124,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",12.101021,17.180801
1,1,0.9994966983795166,emuru,8766,"such as serpents , frogs , and the like .",-7.6699114,0.3264743
1,1,0.9598894119262695,emuru,8279,"The Merstham Tunnel , on the London-to-",-10.891801,1.0187515
0,0,6.165257673274027e-06,iam,8078,revived with designs suitable for contemporary,13.984552,-15.633301
0,0,0.0007281805155798793,iam,9343,"rays , not seen or felt , which change our bodies .",-2.4237576,-23.611141
1,1,0.9977431297302246,emuru,8476,"alive , dipped in treacle and swallowed",-20.707233,-2.0588045
1,1,0.9810210466384888,emuru,8332,would not do ; nothing an American would not,-11.799333,-8.683996
0,0,8.942756153373921e-07,iam,9674,"Willie Kim was speechless , only his slant",17.527985,14.139762
1,1,0.9201146364212036,emuru,9626,on the estate was a major error :,-29.242426,2.3263123
1,1,0.9998695850372314,emuru,10050,"would never be jealous again , would even take Larry's advice and",-11.998821,-11.141703
0,0,1.283207406999054e-08,iam,8344,ladies toying with these primitive morsels in the,16.03333,-4.379755
1,1,0.9988032579421997,emuru,7504,strike . It showed Britain today through the eyes,-11.875628,-15.796093
0,0,1.1894397857759031e-06,iam,7915,to live a day at a time . Even those who,24.988718,-1.0020033
0,0,1.4307467608887237e-05,iam,7491,"him of his ugly battle-dress , to leave him for",10.117894,8.675003
1,1,0.9844368696212769,emuru,8707,officials had formerly made private bargains,-24.01879,-1.657327
0,0,1.819981747530619e-07,iam,8207,named Brown .,11.74075,23.365522
1,1,0.9862821698188782,emuru,8204,"which to proceed , and the inquest was",-25.48999,1.7732986
0,0,3.5730685077339785e-10,iam,8653,taxation not merely for defence and,28.298178,-5.9377384
0,0,1.1079569958383217e-05,iam,10049,"moon was just rising over the rocks , then",18.193707,23.374327
0,0,4.1647436432867835e-07,iam,9237,""" Where are we going , Mam ? "" inquired little",10.5667715,1.7891103
0,0,3.7111226447450463e-07,iam,8773,contraction of the ventricles . Going on in Chapter Three,25.515612,-4.799483
0,0,0.0011097679380327463,iam,9862,""" Ever been to Fleet Street ? "" asked Bawley .",11.786015,6.2813764
1,1,0.9838144183158875,emuru,7953,aimlessly along is more wearying than any-,-8.676854,-5.7109165
