true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.0004403812054079026,iam,7957,commerce may be kept going - though if ever,4.926629,4.7153187
0,0,2.169872277590912e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",11.069858,13.34136
1,1,0.9999691247940063,emuru,8143,"Easterly winds , on the other hand ,",-26.504974,0.56790227
1,1,0.9989575147628784,emuru,10368,"just dusty-grey but muddy , slimy even .",-4.7985096,24.025162
0,0,1.646985836600834e-08,iam,8651,needed taxation in order to supplement,-28.417814,10.476028
0,0,8.25582158192617e-10,iam,9756,glance at him . Evidently the other occupant,13.5997925,4.5156446
1,1,0.9999833106994629,emuru,7811,that children should be molly-coddled - they must be made,-23.647717,-4.659954
0,0,3.1776673949934775e-06,iam,8369,The truth is that good food offers a,-2.9367168,13.092991
1,1,1.0,emuru,8669,was quite alien to mediaeval thought - its,-8.655032,-7.5946474
1,1,0.9999401569366455,emuru,10289,coronary . And in that second,-29.682503,5.4244523
1,1,0.9999997615814209,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-5.8549023,-11.742418
0,0,1.9165544706822857e-09,iam,9447,make a direct comparison between the radar,23.431368,5.586186
0,0,1.3123901680955896e-06,iam,7551,"bar , and there are cases where spacing is used as",-1.8719106,-24.458632
0,0,8.812871237751096e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",8.280883,6.9627237
1,1,0.999994158744812,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-12.365168,-19.692839
0,0,4.257111156646953e-12,iam,9523,ignorant child .,1.8083416,16.546227
0,0,8.186505147023126e-05,iam,9234,Morfyyd Owen was already qualifying for,11.260131,5.763164
0,0,5.344079345714903e-11,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",1.7769651,14.880693
1,1,0.999971866607666,emuru,7983,sympathy with the young wife,-23.708899,3.6804295
1,1,0.9999977350234985,emuru,9077,not submerged beneath a deep natural atmosphere .,-22.51133,-2.208269
0,0,1.4566027488446993e-14,iam,9300,his Eth . Morfydd thought of Dai . The,18.458067,11.10029
1,1,0.999931812286377,emuru,7761,the throne . He was quite prepared to be,1.0466996,-20.382397
1,1,0.9999996423721313,emuru,7794,mutual . But Laud was no Romanizer . One of his,-3.1792455,-17.422022
0,0,1.8903111964618802e-08,iam,7790,Prayer Book in 1637 . Significantly this made,17.747572,4.6531076
0,0,5.602390551473491e-09,iam,8366,"banquets of later days , when the table",23.703236,7.5525775
0,0,4.7173011807899456e-07,iam,8816,"and Red Flag badge , thus presenting a much",21.780575,17.287626
0,0,3.9193299272710647e-08,iam,7574,information is contemporaneous with the New Testament .,10.928511,8.605701
0,0,2.364024531686937e-10,iam,10043,laid his hand on hers . Gay smiled at him,18.680315,24.205053
1,1,0.9990702271461487,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-24.11623,-10.061311
1,1,0.999897837638855,emuru,9612,But Forrest might at least have tried . He 's,-14.959302,-0.6674654
0,0,4.891123353445437e-06,iam,8034,need for the text of the angel are quoted,5.039624,9.041131
0,0,0.029490739107131958,iam,10194,liked during his off-duty periods,-0.9915873,-22.836407
1,1,0.9999942779541016,emuru,9672,black eyes showing any emotion . With a,-14.057123,-9.878084
