true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.0003705801209434867,iam,7957,commerce may be kept going - though if ever,-10.263432,-11.935371
0,0,1.9898157916031778e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-2.149435,-20.665228
1,1,0.9999997615814209,emuru,8143,"Easterly winds , on the other hand ,",-6.122428,27.628273
1,1,0.9978010058403015,emuru,10368,"just dusty-grey but muddy , slimy even .",-9.516644,37.408096
0,0,2.439911561680219e-08,iam,8651,needed taxation in order to supplement,-20.363781,27.439493
0,0,3.7194964885856052e-09,iam,9756,glance at him . Evidently the other occupant,-1.9274842,-11.302282
1,1,0.9999492168426514,emuru,7811,that children should be molly-coddled - they must be made,-8.202136,19.808716
0,0,4.461935986910248e-06,iam,8369,The truth is that good food offers a,-16.67601,-13.314899
1,1,0.9999996423721313,emuru,8669,was quite alien to mediaeval thought - its,7.2338986,17.436144
1,1,0.9999994039535522,emuru,10289,coronary . And in that second,-13.876196,26.32478
1,1,0.9999662637710571,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",4.8550897,16.187096
0,0,3.911307722148649e-09,iam,9447,make a direct comparison between the radar,8.473688,-27.268423
0,0,9.406509207110503e-07,iam,7551,"bar , and there are cases where spacing is used as",5.0985737,0.4833303
0,0,0.00031671940814703703,iam,9614,"with Sir John ? "" she enquired cuttingly .",3.4083495,-17.415352
1,1,1.0,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",10.865422,28.797838
0,0,8.243187243905936e-10,iam,9523,ignorant child .,-9.206525,-23.484467
0,0,7.73869760450907e-05,iam,9234,Morfyyd Owen was already qualifying for,0.5301061,-12.928329
0,0,7.546547831083217e-10,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-10.5992565,-23.82693
1,1,0.9999618530273438,emuru,7983,sympathy with the young wife,-7.34133,24.85728
1,1,0.9999992847442627,emuru,9077,not submerged beneath a deep natural atmosphere .,-7.1181364,24.659191
0,0,1.2353411479523735e-12,iam,9300,his Eth . Morfydd thought of Dai . The,-7.58822,-18.73132
1,1,0.999972939491272,emuru,7761,the throne . He was quite prepared to be,-7.8313446,1.680752
1,1,0.9999998807907104,emuru,7794,mutual . But Laud was no Romanizer . One of his,0.7952559,8.029306
0,0,1.5288895838239114e-07,iam,7790,Prayer Book in 1637 . Significantly this made,5.005141,-17.237034
0,0,1.2972146024026188e-08,iam,8366,"banquets of later days , when the table",7.0621033,-24.972912
0,0,4.757093279295077e-07,iam,8816,"and Red Flag badge , thus presenting a much",-13.147375,-28.27687
0,0,5.7013956222817797e-08,iam,7574,information is contemporaneous with the New Testament .,2.1621354,-18.174156
0,0,2.097977347403912e-09,iam,10043,laid his hand on hers . Gay smiled at him,0.048864987,-30.719837
1,1,0.9999986886978149,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,6.7929053,27.74266
1,1,0.9999991655349731,emuru,9612,But Forrest might at least have tried . He 's,-3.8702037,20.049767
0,0,2.104132727254182e-05,iam,8034,need for the text of the angel are quoted,-6.994774,-13.315077
0,0,0.009487568400800228,iam,10194,liked during his off-duty periods,3.3200667,0.5323672
1,1,0.9999586343765259,emuru,9672,black eyes showing any emotion . With a,1.9578848,17.988676
0,0,0.24683578312397003,iam,8862,"with a book on the life of Marx ,",-16.068987,27.313177
0,0,1.7272900887377318e-09,iam,7515,and who is now being pluckily convivial,11.499671,-20.72322
1,1,0.9998146891593933,emuru,8517,"science of cookery , however , is",-10.287739,4.0625863
1,1,0.9999949932098389,emuru,10282,"And as he spoke , the thought",-4.883626,26.01458
0,0,0.00011898227239726111,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-5.4986687,-21.827826
1,1,0.9999954700469971,emuru,8766,"such as serpents , frogs , and the like .",-10.777215,13.844698
1,1,0.9999970197677612,emuru,8279,"The Merstham Tunnel , on the London-to-",-13.924896,10.188617
0,0,1.1092150771219167e-06,iam,8078,revived with designs suitable for contemporary,18.68671,-1.4460902
0,0,0.00047462285147048533,iam,9343,"rays , not seen or felt , which change our bodies .",4.192341,1.1318454
1,1,0.9999998807907104,emuru,8476,"alive , dipped in treacle and swallowed",-4.091353,23.962505
1,1,0.9998877048492432,emuru,8332,would not do ; nothing an American would not,0.86377376,18.569338
0,0,4.345019419815799e-07,iam,9674,"Willie Kim was speechless , only his slant",8.379586,-20.479866
1,1,0.7906650304794312,emuru,9626,on the estate was a major error :,-12.988822,28.19467
1,1,1.0,emuru,10050,"would never be jealous again , would even take Larry's advice and",7.5589175,24.245209
0,0,5.764642452277258e-08,iam,8344,ladies toying with these primitive morsels in the,13.23662,-14.495581
1,1,0.9999927282333374,emuru,7504,strike . It showed Britain today through the eyes,0.538055,17.58189
0,0,2.943151322654103e-08,iam,7915,to live a day at a time . Even those who,13.642678,-19.248024
0,0,1.6494653891641065e-06,iam,7491,"him of his ugly battle-dress , to leave him for",0.83298814,-16.941769
1,1,0.9999933242797852,emuru,8707,officials had formerly made private bargains,8.954324,31.760916
0,0,2.798752518629044e-07,iam,8207,named Brown .,-10.431244,-30.018122
1,1,0.9999885559082031,emuru,8204,"which to proceed , and the inquest was",-13.648247,30.196972
0,0,1.1836022439926097e-10,iam,8653,taxation not merely for defence and,20.45609,-17.293379
