true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.005857524462044239,iam,7957,commerce may be kept going - though if ever,-23.056644,27.876081
0,0,0.0017404385143890977,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-18.7771,-5.7660723
1,1,0.9997904896736145,emuru,8143,"Easterly winds , on the other hand ,",28.99821,21.757128
1,1,0.9924197793006897,emuru,10368,"just dusty-grey but muddy , slimy even .",-10.3489685,-37.35003
0,0,5.851748596796824e-07,iam,8651,needed taxation in order to supplement,41.317566,-3.7965074
0,0,2.93422033337265e-07,iam,9756,glance at him . Evidently the other occupant,-18.863249,28.659771
1,1,0.9983053207397461,emuru,7811,that children should be molly-coddled - they must be made,32.390804,14.788318
0,0,2.2728030671714805e-05,iam,8369,The truth is that good food offers a,-9.276413,-10.264224
1,1,0.9999988079071045,emuru,8669,was quite alien to mediaeval thought - its,6.404903,17.975943
1,1,0.9996100068092346,emuru,10289,coronary . And in that second,52.50966,2.609739
1,1,0.9999939203262329,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",14.244088,6.2679534
0,0,1.671088466537185e-05,iam,9447,make a direct comparison between the radar,-23.610386,-30.300724
0,0,0.0003931844257749617,iam,7551,"bar , and there are cases where spacing is used as",19.509472,-12.555047
0,0,0.0014383147936314344,iam,9614,"with Sir John ? "" she enquired cuttingly .",-10.24058,9.315809
1,1,0.9983273148536682,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",17.805048,27.848701
0,0,8.976483513833955e-06,iam,9523,ignorant child .,7.9341908,37.078995
0,0,7.500856736442074e-05,iam,9234,Morfyyd Owen was already qualifying for,-11.595093,10.658265
0,0,5.243206032901071e-06,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",35.898224,-9.692684
1,1,0.9307629466056824,emuru,7983,sympathy with the young wife,41.46654,-7.493677
1,1,0.9921626448631287,emuru,9077,not submerged beneath a deep natural atmosphere .,30.219273,16.277975
0,0,1.1851400216755792e-07,iam,9300,his Eth . Morfydd thought of Dai . The,-33.999393,-25.868605
1,1,0.9998680353164673,emuru,7761,the throne . He was quite prepared to be,4.221821,-0.5941837
1,1,0.9998776912689209,emuru,7794,mutual . But Laud was no Romanizer . One of his,17.213,3.4860454
0,0,1.1964422128585284e-06,iam,7790,Prayer Book in 1637 . Significantly this made,-7.516057,7.440529
0,0,4.216290562908398e-06,iam,8366,"banquets of later days , when the table",7.7444153,-23.593748
0,0,6.225403922144324e-06,iam,8816,"and Red Flag badge , thus presenting a much",-28.37869,-24.11129
0,0,2.263482201669831e-06,iam,7574,information is contemporaneous with the New Testament .,-28.584719,-11.03899
0,0,3.136800387437688e-06,iam,10043,laid his hand on hers . Gay smiled at him,20.313478,-22.364777
1,1,0.9965535402297974,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,34.38902,13.035509
1,1,0.9898675680160522,emuru,9612,But Forrest might at least have tried . He 's,27.239416,19.331322
0,0,0.002635418903082609,iam,8034,need for the text of the angel are quoted,-6.830542,1.8118705
0,0,0.001998250838369131,iam,10194,liked during his off-duty periods,-10.703441,-26.64409
1,1,0.9998985528945923,emuru,9672,black eyes showing any emotion . With a,5.4805865,-3.12602
0,1,0.9771252870559692,iam,8862,"with a book on the life of Marx ,",51.96589,0.0200356
0,0,6.846908462421197e-08,iam,7515,and who is now being pluckily convivial,13.238978,-31.201447
1,1,0.9990822076797485,emuru,8517,"science of cookery , however , is",-30.129635,3.1568751
1,1,0.9901302456855774,emuru,10282,"And as he spoke , the thought",-0.0115433615,32.02241
