true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.006645886227488518,iam,7957,commerce may be kept going - though if ever,-9.496002,-20.372908
0,0,0.0005495124496519566,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-18.754374,12.512872
1,1,0.9998668432235718,emuru,8143,"Easterly winds , on the other hand ,",46.600872,1.8560586
1,1,0.8247824311256409,emuru,10368,"just dusty-grey but muddy , slimy even .",-1.315779,20.608461
0,0,1.1905181729332526e-08,iam,8651,needed taxation in order to supplement,-36.419094,0.7327033
0,0,1.1089359652771691e-08,iam,9756,glance at him . Evidently the other occupant,-10.699533,-24.757046
1,1,0.9766154289245605,emuru,7811,that children should be molly-coddled - they must be made,4.375094,-7.667241
0,0,1.3657374893227825e-06,iam,8369,The truth is that good food offers a,-22.516678,-11.554082
1,1,0.9999998807907104,emuru,8669,was quite alien to mediaeval thought - its,18.4106,10.212415
1,1,0.8356487154960632,emuru,10289,coronary . And in that second,52.019695,-0.5144395
1,1,0.999427080154419,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",8.380601,4.660038
0,0,1.2352893463685177e-06,iam,9447,make a direct comparison between the radar,-28.120014,3.8468845
0,0,1.5332421980929212e-06,iam,7551,"bar , and there are cases where spacing is used as",-2.162368,-2.5753222
0,0,2.1210540580796078e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",-12.772541,-11.293467
1,1,0.9999997615814209,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",19.670998,-1.3070756
0,0,1.1644162611901265e-07,iam,9523,ignorant child .,6.5951724,-18.761814
0,0,2.883577144530136e-05,iam,9234,Morfyyd Owen was already qualifying for,-10.568946,-11.082073
0,0,5.880211801922997e-07,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-31.642355,-13.123212
1,1,0.9996746778488159,emuru,7983,sympathy with the young wife,46.27495,2.9068956
1,1,0.9999938011169434,emuru,9077,not submerged beneath a deep natural atmosphere .,38.64538,4.074478
0,0,1.0652619231166227e-08,iam,9300,his Eth . Morfydd thought of Dai . The,-31.804852,-4.874832
1,1,0.999996542930603,emuru,7761,the throne . He was quite prepared to be,5.8843627,-3.2542405
1,1,0.9999998807907104,emuru,7794,mutual . But Laud was no Romanizer . One of his,27.794025,0.40806717
0,0,1.363112573926628e-07,iam,7790,Prayer Book in 1637 . Significantly this made,-12.4533205,-8.549642
0,0,1.9234775550103222e-07,iam,8366,"banquets of later days , when the table",-13.458501,3.3260784
0,0,1.6775335609509057e-07,iam,8816,"and Red Flag badge , thus presenting a much",-35.26461,-0.8501607
0,0,1.4518340663016716e-07,iam,7574,information is contemporaneous with the New Testament .,-18.548311,0.40283716
0,0,2.3688025763135556e-08,iam,10043,laid his hand on hers . Gay smiled at him,-7.063347,1.875363
1,1,0.9999984502792358,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,31.063433,-3.430028
1,1,0.9999905824661255,emuru,9612,But Forrest might at least have tried . He 's,36.093304,1.6904852
0,0,0.00046500691678375006,iam,8034,need for the text of the angel are quoted,-16.195992,-5.41184
0,0,0.004551204852759838,iam,10194,liked during his off-duty periods,-8.41321,15.070227
1,1,0.9999995231628418,emuru,9672,black eyes showing any emotion . With a,30.518473,1.7776461
0,1,0.5608906745910645,iam,8862,"with a book on the life of Marx ,",50.235588,0.41972655
0,0,3.673002124671143e-09,iam,7515,and who is now being pluckily convivial,-8.801257,7.396725
1,1,0.9999511241912842,emuru,8517,"science of cookery , however , is",3.8072917,7.3269615
1,1,0.9999287128448486,emuru,10282,"And as he spoke , the thought",49.686188,2.6460257
0,0,0.0002942734572570771,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-22.895206,-2.0509698
1,1,0.9999700784683228,emuru,8766,"such as serpents , frogs , and the like .",13.094207,-8.846516
1,1,0.9999992847442627,emuru,8279,"The Merstham Tunnel , on the London-to-",11.32163,8.142846
0,0,1.913821506605018e-06,iam,8078,revived with designs suitable for contemporary,-3.1674805,-6.5959435
0,0,0.0013643281999975443,iam,9343,"rays , not seen or felt , which change our bodies .",-2.4672468,13.490689
1,1,0.9999958276748657,emuru,8476,"alive , dipped in treacle and swallowed",42.230595,2.1909893
1,1,0.9981403350830078,emuru,8332,would not do ; nothing an American would not,17.387802,12.362268
0,0,2.2796039047534578e-06,iam,9674,"Willie Kim was speechless , only his slant",-19.694431,7.76686
1,1,0.9887031316757202,emuru,9626,on the estate was a major error :,50.12764,-1.495261
1,1,1.0,emuru,10050,"would never be jealous again , would even take Larry's advice and",24.799507,0.6185127
0,0,3.077879284774099e-07,iam,8344,ladies toying with these primitive morsels in the,-5.5426064,-4.9311523
1,1,1.0,emuru,7504,strike . It showed Britain today through the eyes,26.90574,-0.67474616
0,0,7.744348295091186e-06,iam,7915,to live a day at a time . Even those who,-15.861833,12.602336
0,0,3.859777734760428e-06,iam,7491,"him of his ugly battle-dress , to leave him for",-20.232195,3.7269337
1,1,0.9999638795852661,emuru,8707,officials had formerly made private bargains,22.263987,-5.7969613
0,0,1.097499807656277e-05,iam,8207,named Brown .,-27.905031,-6.5835075
1,1,0.9999783039093018,emuru,8204,"which to proceed , and the inquest was",47.69395,2.7132785
0,0,4.2658556687058535e-09,iam,8653,taxation not merely for defence and,-8.388214,5.852945
0,0,4.427118369676464e-07,iam,10049,"moon was just rising over the rocks , then",-22.875986,-5.999416
0,0,5.142982217876124e-07,iam,9237,""" Where are we going , Mam ? "" inquired little",-9.921946,-11.306817
0,0,1.3767338487014058e-06,iam,8773,contraction of the ventricles . Going on in Chapter Three,-12.836679,10.497766
0,0,1.8746848581940867e-05,iam,9862,""" Ever been to Fleet Street ? "" asked Bawley .",-18.970049,-6.419723
1,1,0.9730216860771179,emuru,7953,aimlessly along is more wearying than any-,-3.8087523,-20.306026
0,0,1.669693119765725e-05,iam,9857,give me a ring at this number and I 'll,-8.877955,-4.9400554
1,1,0.9998687505722046,emuru,8655,"crown lands , the fees of feudalism",-1.1096834,17.412867
0,0,1.734685383780743e-06,iam,8237,yet so strange were the circumstances that it was,-14.591366,3.2999327
1,1,0.9999909400939941,emuru,8650,those in authority to find some simple,6.7214637,-21.424368
0,0,7.060535267555679e-08,iam,8248,"of a railway will be worse than Ipecacuanha , """,-6.2247334,-10.343632
1,1,0.999993085861206,emuru,8634,"Calais , Cherbourg , Brest , Bordeaux and Bayonne ,",9.516545,-20.588768
0,0,0.003110988065600395,iam,9937,"unreadable as a rock . "" Let 's get over to the",-30.082914,-12.715715
1,1,0.9999995231628418,emuru,8028,texts to support the thesis of R. Joshua b. Levi .,30.04988,-2.148884
1,1,0.9973978996276855,emuru,9221,precious than jewels . Though Mofydd Owen,50.0387,-2.340321
