true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,5.89646770094987e-05,iam,7957,commerce may be kept going - though if ever,24.860188,-18.135712
0,0,6.771065272914711e-06,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-6.3697677,26.432137
1,1,0.9995829463005066,emuru,8143,"Easterly winds , on the other hand ,",-14.850666,-21.126595
1,1,0.9998434782028198,emuru,10368,"just dusty-grey but muddy , slimy even .",-6.3689528,-20.1005
0,0,2.3813749066903256e-05,iam,8651,needed taxation in order to supplement,-34.311455,15.885193
0,0,4.130284594339173e-07,iam,9756,glance at him . Evidently the other occupant,30.299114,-10.874991
1,1,0.9798174500465393,emuru,7811,that children should be molly-coddled - they must be made,-23.017742,-6.0263257
0,0,6.844688726914683e-08,iam,8369,The truth is that good food offers a,33.774517,4.750778
1,1,0.9999251365661621,emuru,8669,was quite alien to mediaeval thought - its,-17.83221,15.914217
1,1,0.9827433824539185,emuru,10289,coronary . And in that second,-33.58232,23.517607
1,1,0.9996830224990845,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-8.29213,-3.7871478
0,0,0.00024364021373912692,iam,9447,make a direct comparison between the radar,21.607605,7.8314176
0,0,3.845155333692674e-06,iam,7551,"bar , and there are cases where spacing is used as",20.250092,21.76355
0,0,4.7857171011855826e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",24.789064,-6.4391074
1,1,0.9998255372047424,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-31.556269,-6.441363
0,0,2.2899757823324762e-06,iam,9523,ignorant child .,21.69263,5.8205986
0,0,2.9854504646209534e-06,iam,9234,Morfyyd Owen was already qualifying for,32.511032,-21.965336
0,0,6.240433094717446e-07,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",22.533945,-4.842783
1,1,0.9999699592590332,emuru,7983,sympathy with the young wife,-40.560226,-1.7091807
1,1,0.9999892711639404,emuru,9077,not submerged beneath a deep natural atmosphere .,-6.4903283,-17.952007
0,0,5.357893678592518e-05,iam,9300,his Eth . Morfydd thought of Dai . The,16.07483,1.464926
1,1,0.9994217157363892,emuru,7761,the throne . He was quite prepared to be,-9.886921,-17.959805
1,1,0.9999606609344482,emuru,7794,mutual . But Laud was no Romanizer . One of his,-24.990437,-10.136752
0,0,2.298554318258539e-05,iam,7790,Prayer Book in 1637 . Significantly this made,25.459446,-13.934633
0,0,3.065322380280122e-05,iam,8366,"banquets of later days , when the table",18.810722,22.86967
0,0,6.578435568371788e-05,iam,8816,"and Red Flag badge , thus presenting a much",16.752687,-14.277117
0,0,1.4341128007799853e-05,iam,7574,information is contemporaneous with the New Testament .,27.434479,8.147243
0,0,1.4578013178834226e-05,iam,10043,laid his hand on hers . Gay smiled at him,21.193052,18.693207
1,1,0.9998571872711182,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-21.649324,-24.8732
1,1,0.9999197721481323,emuru,9612,But Forrest might at least have tried . He 's,-7.7065215,-23.824541
0,0,6.199402946549526e-07,iam,8034,need for the text of the angel are quoted,4.4108467,19.122847
0,0,8.199114631679549e-07,iam,10194,liked during his off-duty periods,-3.8257365,20.098986
1,1,0.9999556541442871,emuru,9672,black eyes showing any emotion . With a,-19.802261,-16.19836
0,0,3.7072728446219116e-05,iam,8862,"with a book on the life of Marx ,",-30.470413,25.423166
0,0,1.3916888974563335e-06,iam,7515,and who is now being pluckily convivial,31.058416,6.837888
1,1,0.999964714050293,emuru,8517,"science of cookery , however , is",-26.002476,11.475017
1,1,0.9997795224189758,emuru,10282,"And as he spoke , the thought",-6.66226,-20.509336
0,0,0.004320493433624506,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-11.281969,20.979294
1,1,0.9998160004615784,emuru,8766,"such as serpents , frogs , and the like .",-9.711617,9.9516535
1,1,0.9924565553665161,emuru,8279,"The Merstham Tunnel , on the London-to-",-37.599075,-2.0391982
0,0,3.60332487616688e-05,iam,8078,revived with designs suitable for contemporary,22.084015,-11.038581
0,0,0.00024590676184743643,iam,9343,"rays , not seen or felt , which change our bodies .",1.117485,14.020542
1,1,0.9999692440032959,emuru,8476,"alive , dipped in treacle and swallowed",-28.402086,-16.334059
