true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,5.254012648947537e-06,iam,7957,commerce may be kept going - though if ever,11.939103,9.239747
0,0,1.040112601913279e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",1.6676173,17.838797
1,1,0.9999796152114868,emuru,8143,"Easterly winds , on the other hand ,",21.018433,-28.892109
1,1,0.9980546236038208,emuru,10368,"just dusty-grey but muddy , slimy even .",7.7201686,-33.241467
0,0,2.5424157001907588e-08,iam,8651,needed taxation in order to supplement,25.971071,-24.420425
0,0,3.115731006531064e-10,iam,9756,glance at him . Evidently the other occupant,6.9588275,9.654684
1,1,0.9999951124191284,emuru,7811,that children should be molly-coddled - they must be made,10.521238,-23.917267
0,0,2.8796766855521128e-06,iam,8369,The truth is that good food offers a,18.707209,12.55704
1,1,0.9999998807907104,emuru,8669,was quite alien to mediaeval thought - its,-2.1578577,-16.547804
1,1,0.9999880790710449,emuru,10289,coronary . And in that second,15.650288,-26.643515
1,1,0.9999985694885254,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-4.3960886,-16.675457
0,0,3.9337808011019604e-10,iam,9447,make a direct comparison between the radar,-11.467017,24.88711
0,0,4.0150615632228437e-07,iam,7551,"bar , and there are cases where spacing is used as",-4.9599013,-2.8243105
0,0,0.00011298134631942958,iam,9614,"with Sir John ? "" she enquired cuttingly .",-0.71334165,11.151586
1,1,0.9999641180038452,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-9.6571,-16.453037
0,0,3.3991606751548886e-10,iam,9523,ignorant child .,-5.4279165,22.810406
0,0,6.591560668312013e-05,iam,9234,Morfyyd Owen was already qualifying for,-2.175893,10.367623
0,0,8.304444631956898e-11,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-4.6704655,21.191206
1,1,0.9925289154052734,emuru,7983,sympathy with the young wife,23.262651,-18.167332
1,1,0.999977707862854,emuru,9077,not submerged beneath a deep natural atmosphere .,23.304379,-17.961006
0,0,1.3020449518910682e-13,iam,9300,his Eth . Morfydd thought of Dai . The,5.0831685,17.475967
1,1,0.9998799562454224,emuru,7761,the throne . He was quite prepared to be,12.047359,-4.619657
1,1,0.9999988079071045,emuru,7794,mutual . But Laud was no Romanizer . One of his,-3.4068708,-12.414896
0,0,2.9568394399603903e-09,iam,7790,Prayer Book in 1637 . Significantly this made,-3.903172,10.69239
