true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,1,0.5402403473854065,iam,7957,commerce may be kept going - though if ever,1.3937309,-6.089104
0,1,0.5450686812400818,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",7.491573,41.20472
1,1,0.5501640439033508,emuru,8143,"Easterly winds , on the other hand ,",-2.6715455,-30.450638
1,1,0.5515380501747131,emuru,10368,"just dusty-grey but muddy , slimy even .",-9.495029,-33.178497
0,1,0.5480398535728455,iam,8651,needed taxation in order to supplement,5.6977024,-11.648352
0,1,0.5117696523666382,iam,9756,glance at him . Evidently the other occupant,6.0522375,35.42519
1,1,0.5313881039619446,emuru,7811,that children should be molly-coddled - they must be made,-6.172428,13.888602
0,1,0.5579175353050232,iam,8369,The truth is that good food offers a,3.677202,2.8319798
1,1,0.526608943939209,emuru,8669,was quite alien to mediaeval thought - its,3.6723485,36.2839
1,1,0.5530564785003662,emuru,10289,coronary . And in that second,-2.6315532,-36.33518
1,1,0.5332592129707336,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-2.044232,-12.579481
0,1,0.5372016429901123,iam,9447,make a direct comparison between the radar,2.0826592,17.776136
0,1,0.5288296937942505,iam,7551,"bar , and there are cases where spacing is used as",6.157346,27.744253
0,1,0.5419012308120728,iam,9614,"with Sir John ? "" she enquired cuttingly .",0.9262606,-2.9151008
1,1,0.5489029288291931,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-4.0477834,-25.170992
0,1,0.5468589663505554,iam,9523,ignorant child .,-0.044359587,-1.4145035
0,1,0.5458744168281555,iam,9234,Morfyyd Owen was already qualifying for,5.6053734,16.233484
0,1,0.541660487651825,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-4.697484,3.214018
1,1,0.5509046912193298,emuru,7983,sympathy with the young wife,-3.5931876,-30.056734
1,1,0.5476530194282532,emuru,9077,not submerged beneath a deep natural atmosphere .,0.92862433,-27.854326
0,1,0.5236813426017761,iam,9300,his Eth . Morfydd thought of Dai . The,3.6278613,31.956127
1,1,0.5481528043746948,emuru,7761,the throne . He was quite prepared to be,5.176353,-7.865656
1,1,0.5328028798103333,emuru,7794,mutual . But Laud was no Romanizer . One of his,-6.320331,-6.0472026
0,1,0.5416820049285889,iam,7790,Prayer Book in 1637 . Significantly this made,7.7560015,25.674229
0,1,0.578575611114502,iam,8366,"banquets of later days , when the table",-6.7226534,6.8664474
0,1,0.5370721817016602,iam,8816,"and Red Flag badge , thus presenting a much",1.1783623,-22.752167
0,1,0.5276691913604736,iam,7574,information is contemporaneous with the New Testament .,-2.2757673,21.697195
0,1,0.5376394987106323,iam,10043,laid his hand on hers . Gay smiled at him,6.501005,-4.9424458
1,1,0.5275813341140747,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-3.6578295,15.501264
1,1,0.5494966506958008,emuru,9612,But Forrest might at least have tried . He 's,-6.5435944,-25.41911
0,1,0.5368948578834534,iam,8034,need for the text of the angel are quoted,-2.6470602,9.918172
0,1,0.5411216616630554,iam,10194,liked during his off-duty periods,0.996627,-3.747903
1,1,0.5489848852157593,emuru,9672,black eyes showing any emotion . With a,-7.626189,-24.141811
0,1,0.5541713237762451,iam,8862,"with a book on the life of Marx ,",-4.3784695,-41.858196
0,0,0.48765555024147034,iam,7515,and who is now being pluckily convivial,5.3856583,46.914352
1,1,0.5320628881454468,emuru,8517,"science of cookery , however , is",-8.264822,-10.4646845
1,1,0.5521903038024902,emuru,10282,"And as he spoke , the thought",-2.9982512,-35.337513
0,1,0.519528329372406,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",1.8248783,18.282858
