true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.0017725266516208649,iam,7957,commerce may be kept going - though if ever,1.8654401,15.403332
0,0,6.948737427592278e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-7.174279,14.257194
1,1,0.9884690642356873,emuru,8143,"Easterly winds , on the other hand ,",27.29829,0.67772436
1,1,0.8266992568969727,emuru,10368,"just dusty-grey but muddy , slimy even .",11.100571,-6.505542
0,0,3.472318348940462e-05,iam,8651,needed taxation in order to supplement,29.019758,10.235414
0,0,7.806374355823209e-07,iam,9756,glance at him . Evidently the other occupant,-6.817133,5.8396564
1,1,0.9973710775375366,emuru,7811,that children should be molly-coddled - they must be made,23.514723,-7.8131366
0,0,6.944762571947649e-05,iam,8369,The truth is that good food offers a,6.661204,18.700901
1,1,0.9988445043563843,emuru,8669,was quite alien to mediaeval thought - its,6.5833964,-9.157299
1,1,0.9983804225921631,emuru,10289,coronary . And in that second,28.799963,5.760623
1,1,0.9973697662353516,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",8.581613,-12.618506
0,0,1.1505953523283097e-08,iam,9447,make a direct comparison between the radar,-22.529882,13.026534
0,0,6.464362741098739e-06,iam,7551,"bar , and there are cases where spacing is used as",-4.1955953,-19.753157
0,0,0.00034061050973832607,iam,9614,"with Sir John ? "" she enquired cuttingly .",-14.746142,9.916255
1,1,0.9986492991447449,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",9.134805,-21.155973
0,0,2.488896768682025e-07,iam,9523,ignorant child .,-4.9044476,22.204931
0,0,0.00038038718048483133,iam,9234,Morfyyd Owen was already qualifying for,-10.23616,6.0523534
0,0,8.441393362090821e-09,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-4.502321,20.60585
1,1,0.9823225140571594,emuru,7983,sympathy with the young wife,20.66168,6.3332095
1,1,0.9941496849060059,emuru,9077,not submerged beneath a deep natural atmosphere .,22.336023,-6.240652
0,0,1.5016483889684906e-10,iam,9300,his Eth . Morfydd thought of Dai . The,-3.0795574,15.690434
1,1,0.9834580421447754,emuru,7761,the throne . He was quite prepared to be,6.4887123,1.0559126
1,1,0.9961322546005249,emuru,7794,mutual . But Laud was no Romanizer . One of his,2.49649,-16.071857
0,0,1.163849447038956e-06,iam,7790,Prayer Book in 1637 . Significantly this made,-16.91787,8.770989
0,0,6.996842216722143e-07,iam,8366,"banquets of later days , when the table",-20.12108,12.763846
0,0,0.00010941213986370713,iam,8816,"and Red Flag badge , thus presenting a much",-8.619213,27.382473
0,0,2.520212774470565e-06,iam,7574,information is contemporaneous with the New Testament .,-12.196396,9.755785
0,0,7.194176419034193e-07,iam,10043,laid his hand on hers . Gay smiled at him,-18.499414,16.236134
1,1,0.91355299949646,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,21.5999,-14.348747
1,1,0.991915225982666,emuru,9612,But Forrest might at least have tried . He 's,2.4911127,-6.6229906
0,0,3.162381472066045e-05,iam,8034,need for the text of the angel are quoted,-1.4487578,12.787283
0,0,0.011505268514156342,iam,10194,liked during his off-duty periods,-2.4033806,-20.353283
1,1,0.9870486855506897,emuru,9672,black eyes showing any emotion . With a,11.860219,-12.036668
0,1,0.5496219992637634,iam,8862,"with a book on the life of Marx ,",26.35547,5.806476
0,0,1.182786579789763e-08,iam,7515,and who is now being pluckily convivial,-23.094746,4.815851
1,1,0.9856034517288208,emuru,8517,"science of cookery , however , is",8.798174,3.48623
1,1,0.9757226705551147,emuru,10282,"And as he spoke , the thought",19.751644,-8.837604
0,0,0.0010396746220067143,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-10.259591,15.541526
1,1,0.997631311416626,emuru,8766,"such as serpents , frogs , and the like .",16.573542,-1.4573635
1,1,0.9108007550239563,emuru,8279,"The Merstham Tunnel , on the London-to-",17.085743,1.9876181
0,0,9.224605491908733e-06,iam,8078,revived with designs suitable for contemporary,-14.607904,-13.20603
0,0,0.0018974147969856858,iam,9343,"rays , not seen or felt , which change our bodies .",-3.229686,-19.817196
1,1,0.9964359998703003,emuru,8476,"alive , dipped in treacle and swallowed",20.276863,-6.0895014
1,1,0.9732610583305359,emuru,8332,would not do ; nothing an American would not,8.320543,-11.496587
0,0,1.4529882719216403e-06,iam,9674,"Willie Kim was speechless , only his slant",-15.836534,11.889395
1,1,0.8457062244415283,emuru,9626,on the estate was a major error :,29.819399,2.2937682
1,1,0.9996881484985352,emuru,10050,"would never be jealous again , would even take Larry's advice and",10.975753,-14.504265
0,0,1.276160048746533e-07,iam,8344,ladies toying with these primitive morsels in the,-20.51088,-0.89027727
1,1,0.9973084926605225,emuru,7504,strike . It showed Britain today through the eyes,4.12372,-15.628189
0,0,8.860226330398291e-07,iam,7915,to live a day at a time . Even those who,-23.549215,2.4940574
0,0,5.5632885050727054e-05,iam,7491,"him of his ugly battle-dress , to leave him for",-11.147267,9.388248
1,1,0.9638698101043701,emuru,8707,officials had formerly made private bargains,24.432514,-5.450507
0,0,3.6831595480180113e-06,iam,8207,named Brown .,-10.51566,24.968742
1,1,0.9866742491722107,emuru,8204,"which to proceed , and the inquest was",17.055555,7.741046
0,0,2.3246777836050114e-09,iam,8653,taxation not merely for defence and,-26.684374,-4.4191175
0,0,4.547733624349348e-05,iam,10049,"moon was just rising over the rocks , then",-17.7283,16.535181
0,0,2.077835233649239e-06,iam,9237,""" Where are we going , Mam ? "" inquired little",-9.337798,3.1862159
0,0,4.216319950955949e-07,iam,8773,contraction of the ventricles . Going on in Chapter Three,-25.221964,-7.2385836
0,0,0.0008494916837662458,iam,9862,""" Ever been to Fleet Street ? "" asked Bawley .",-11.409988,6.0213847
1,1,0.9711790084838867,emuru,7953,aimlessly along is more wearying than any-,6.2260733,-6.437644
0,0,0.0010399033781141043,iam,9857,give me a ring at this number and I 'll,-10.110144,-9.574845
1,1,0.9345473051071167,emuru,8655,"crown lands , the fees of feudalism",-0.8854175,-3.5238209
0,0,9.986494660552125e-06,iam,8237,yet so strange were the circumstances that it was,-14.2531595,27.797178
1,1,0.9969473481178284,emuru,8650,those in authority to find some simple,20.58199,1.413885
0,0,1.348490314967421e-07,iam,8248,"of a railway will be worse than Ipecacuanha , """,-6.2406344,15.353784
1,1,0.9114335179328918,emuru,8634,"Calais , Cherbourg , Brest , Bordeaux and Bayonne ,",21.962803,-2.23317
0,0,0.006892404984682798,iam,9937,"unreadable as a rock . "" Let 's get over to the",30.4296,4.3415065
1,1,0.9750741720199585,emuru,8028,texts to support the thesis of R. Joshua b. Levi .,17.38181,-14.00202
1,1,0.8926779627799988,emuru,9221,precious than jewels . Though Mofydd Owen,29.587805,2.687489
0,0,1.2002714377956636e-09,iam,8540,waxed enthusiastic about Bouilla-,-15.636257,22.703846
0,0,0.002708055544644594,iam,9035,"Finally , being so obviously on their own ,",-10.636767,-9.72395
0,0,0.00023757615417707711,iam,9626,on the estate was a major error :,-2.883129,-20.128065
1,1,0.9972935318946838,emuru,9307,On the back seat Stan Hayball embraced,-1.1333004,-3.631638
1,1,0.9925408363342285,emuru,8822,"on West Street , where a successful Sunday",19.569952,-14.738288
1,1,0.9888365268707275,emuru,8946,"over his head and yawned agape ,",9.702239,-1.6662126
1,1,0.8251177072525024,emuru,7992,into a dull routine . I have great,-8.953061,-11.141201
1,1,0.9974290728569031,emuru,8486,"it and dry it , in which form , dusted",10.889025,-6.738951
1,1,0.999504804611206,emuru,9636,"would be 3"" plenty , plenty sad "" not to be back",3.401732,-26.918701
0,0,7.155221828725189e-05,iam,9210,"reasonably . "" Start running punctual and where are you ? People get",-13.176748,-3.7119982
