true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.08192369341850281,iam,7957,commerce may be kept going - though if ever,6.675426,28.888464
0,0,0.0005251651746220887,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",2.182093,17.879763
1,1,0.9883991479873657,emuru,8143,"Easterly winds , on the other hand ,",-7.816594,-27.038565
1,1,0.9867140650749207,emuru,10368,"just dusty-grey but muddy , slimy even .",0.7627997,-4.801436
0,0,0.025582456961274147,iam,8651,needed taxation in order to supplement,-26.952662,-4.8639817
0,0,0.0003390715573914349,iam,9756,glance at him . Evidently the other occupant,9.297228,21.78289
1,1,0.9991850256919861,emuru,7811,that children should be molly-coddled - they must be made,-10.307681,-12.889251
0,0,0.001076041953638196,iam,8369,The truth is that good food offers a,-3.2669919,26.34433
1,1,0.9967368245124817,emuru,8669,was quite alien to mediaeval thought - its,2.7712252,-17.250563
1,1,0.9972895383834839,emuru,10289,coronary . And in that second,-26.423353,-6.489648
1,1,0.996579110622406,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",4.7843485,-13.618982
0,0,0.00031775468960404396,iam,9447,make a direct comparison between the radar,13.284106,17.725056
0,0,0.0018630303675308824,iam,7551,"bar , and there are cases where spacing is used as",6.715387,5.0449905
0,0,0.0017258166335523129,iam,9614,"with Sir John ? "" she enquired cuttingly .",3.1745324,11.567633
1,1,0.9998912811279297,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-1.6442404,-32.033035
0,0,0.0004314963589422405,iam,9523,ignorant child .,-15.657568,11.857946
0,0,0.0003395227831788361,iam,9234,Morfyyd Owen was already qualifying for,6.3813863,13.847909
0,0,1.642519055167213e-05,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-14.29109,10.485325
1,1,0.9986479878425598,emuru,7983,sympathy with the young wife,-20.069115,-6.21835
1,1,0.999656081199646,emuru,9077,not submerged beneath a deep natural atmosphere .,-16.778706,-17.216354
0,0,7.039490128590842e-07,iam,9300,his Eth . Morfydd thought of Dai . The,3.8521698,22.166603
1,1,0.9161591529846191,emuru,7761,the throne . He was quite prepared to be,-14.634197,3.7276628
1,1,0.9996232986450195,emuru,7794,mutual . But Laud was no Romanizer . One of his,4.0461264,-15.640417
0,0,0.000962020072620362,iam,7790,Prayer Book in 1637 . Significantly this made,7.592243,15.897045
0,0,0.0007603042759001255,iam,8366,"banquets of later days , when the table",14.668183,16.469193
0,0,0.03732943907380104,iam,8816,"and Red Flag badge , thus presenting a much",-18.759369,16.577984
0,0,0.0038683083839714527,iam,7574,information is contemporaneous with the New Testament .,3.54308,14.109746
0,0,0.002428254811093211,iam,10043,laid his hand on hers . Gay smiled at him,-5.9629235,12.724578
1,1,0.998524010181427,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,2.154732,-26.62794
1,1,0.9997698664665222,emuru,9612,But Forrest might at least have tried . He 's,-6.4172983,-13.575808
0,0,0.00016643523122183979,iam,8034,need for the text of the angel are quoted,-0.69543,17.118414
0,0,0.03078489936888218,iam,10194,liked during his off-duty periods,7.95404,5.9487414
1,1,0.9986876845359802,emuru,9672,black eyes showing any emotion . With a,-1.1973702,-13.169904
0,0,0.08396504074335098,iam,8862,"with a book on the life of Marx ,",-24.542744,-2.411006
0,0,1.1345136044838e-05,iam,7515,and who is now being pluckily convivial,22.424255,17.258337
1,1,0.9881789684295654,emuru,8517,"science of cookery , however , is",-10.220245,-0.67622715
1,1,0.9974470138549805,emuru,10282,"And as he spoke , the thought",-11.885292,-22.204037
0,0,0.009484297595918179,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-3.683385,20.391771
1,1,0.999665379524231,emuru,8766,"such as serpents , frogs , and the like .",-10.599138,-9.834814
1,1,0.9999074935913086,emuru,8279,"The Merstham Tunnel , on the London-to-",-13.214942,-1.5827913
0,0,0.0014807702973484993,iam,8078,revived with designs suitable for contemporary,15.97278,-3.2212367
0,0,0.0025085981469601393,iam,9343,"rays , not seen or felt , which change our bodies .",7.6934648,5.2706337
1,1,0.9999896287918091,emuru,8476,"alive , dipped in treacle and swallowed",-14.223332,-22.08076
1,1,0.999259889125824,emuru,8332,would not do ; nothing an American would not,1.9523998,-15.095322
0,0,8.796640759101138e-05,iam,9674,"Willie Kim was speechless , only his slant",-2.7001228,12.974645
1,1,0.8977140188217163,emuru,9626,on the estate was a major error :,-25.282995,-6.9785314
1,1,0.999932050704956,emuru,10050,"would never be jealous again , would even take Larry's advice and",1.0640769,-22.792439
0,0,0.006610812619328499,iam,8344,ladies toying with these primitive morsels in the,19.710867,10.827836
1,1,0.9991933703422546,emuru,7504,strike . It showed Britain today through the eyes,-2.0016801,-25.499561
0,0,0.0017070359317585826,iam,7915,to live a day at a time . Even those who,20.313704,14.934337
0,0,0.0005610091029666364,iam,7491,"him of his ugly battle-dress , to leave him for",2.8875575,13.710045
1,1,0.995785653591156,emuru,8707,officials had formerly made private bargains,-17.550259,-20.52732
0,0,0.02096809819340706,iam,8207,named Brown .,-11.294463,22.564606
1,1,0.9990774393081665,emuru,8204,"which to proceed , and the inquest was",-24.059036,-8.842608
0,0,0.00012668386625591666,iam,8653,taxation not merely for defence and,26.655596,11.629885
0,0,0.008906171657145023,iam,10049,"moon was just rising over the rocks , then",-5.548121,13.658496
0,0,0.0012540066381916404,iam,9237,""" Where are we going , Mam ? "" inquired little",10.877525,14.211327
0,0,0.0015601790510118008,iam,8773,contraction of the ventricles . Going on in Chapter Three,23.45053,12.350667
0,0,0.00035722594475373626,iam,9862,""" Ever been to Fleet Street ? "" asked Bawley .",6.693189,13.262171
1,1,0.9837467074394226,emuru,7953,aimlessly along is more wearying than any-,-0.09503066,-16.864931
0,0,0.0033590353559702635,iam,9857,give me a ring at this number and I 'll,13.4857855,-0.2584374
1,1,0.9991268515586853,emuru,8655,"crown lands , the fees of feudalism",0.68925637,-7.3318934
0,0,0.000394445494748652,iam,8237,yet so strange were the circumstances that it was,11.717525,17.571857
1,1,0.9970300197601318,emuru,8650,those in authority to find some simple,-7.5054107,-5.6597733
0,0,0.00012998830061405897,iam,8248,"of a railway will be worse than Ipecacuanha , """,4.517428,18.955023
1,1,0.9991483688354492,emuru,8634,"Calais , Cherbourg , Brest , Bordeaux and Bayonne ,",-15.4731655,-14.158912
0,0,0.012796077877283096,iam,9937,"unreadable as a rock . "" Let 's get over to the",-26.76453,-2.3420238
1,1,0.9996041655540466,emuru,8028,texts to support the thesis of R. Joshua b. Levi .,0.49433598,-27.23096
1,1,0.992232084274292,emuru,9221,precious than jewels . Though Mofydd Owen,-25.867401,-8.738036
0,0,7.915050082374364e-05,iam,8540,waxed enthusiastic about Bouilla-,-8.376957,23.452904
0,0,0.031244244426488876,iam,9035,"Finally , being so obviously on their own ,",14.20123,-0.6611461
0,0,0.0006339142564684153,iam,9626,on the estate was a major error :,7.9095984,5.788273
1,1,0.9956943988800049,emuru,9307,On the back seat Stan Hayball embraced,1.0193262,-0.9107107
1,1,0.9975179433822632,emuru,8822,"on West Street , where a successful Sunday",-4.8124604,-22.95356
1,1,0.9993927478790283,emuru,8946,"over his head and yawned agape ,",-2.7783277,-10.917457
1,1,0.9991973042488098,emuru,7992,into a dull routine . I have great,-0.62295574,-12.031881
1,1,0.9927175045013428,emuru,8486,"it and dry it , in which form , dusted",0.8270924,-4.690281
1,1,0.9930583238601685,emuru,9636,"would be 3"" plenty , plenty sad "" not to be back",-18.42476,-12.772981
0,0,0.013973187655210495,iam,9210,"reasonably . "" Start running punctual and where are you ? People get",15.610726,6.452373
0,0,0.0010231697233393788,iam,9787,""" Oh , the Press , "" said Seaweed . "" Down here on business , Mr.",3.913185,6.883687
1,1,0.9999408721923828,emuru,8066,' The Holy Spirit manifested itself in three places :,10.331316,-21.734379
0,0,0.08929858356714249,iam,9197,"trees and bushes , that stood well out over the lake .",-5.542318,17.905943
1,1,0.9991750121116638,emuru,7542,written in Greek . A modern text of the,-12.278361,-10.712432
1,1,0.9995406866073608,emuru,10291,will contact your new doctor,11.917235,-22.00825
1,1,0.9980670809745789,emuru,7971,"As it is , with so much of our life already",3.0581174,-9.078065
0,0,4.56958805443719e-05,iam,7840,the way to face life . To see all the latent,19.680378,14.536054
1,1,0.99972003698349,emuru,8701,"first , the Church , which wisely followed the lead",7.5463915,-27.854366
0,0,0.0006554639548994601,iam,8122,be accidental . Yet there will always be some,-5.4995937,6.728927
0,0,0.018357405439019203,iam,9183,"any rate they remained with us , perhaps",15.768285,4.521291
0,0,0.0035569192841649055,iam,10209,dancing with a blonde at eight-thirty that,12.682997,6.147555
1,1,0.99970942735672,emuru,7654,"Then the whole earth will be His Altar . "" And it",4.3459187,-21.359028
0,0,0.006351211573928595,iam,9196,"was impatient for it . This afternoon , then , we climbed",-11.079625,7.2535477
0,0,0.013399013318121433,iam,8466,"According to Pliny , and others , certain herbs",-7.044246,7.1272306
0,0,0.00013918209879193455,iam,7734,how to live and accept all the bitterness,-10.574007,17.698011
0,0,0.00010437662422191352,iam,8396,delicacy - sought inspiration at last from,15.402555,22.871511
0,0,0.0003768465539906174,iam,8640,then the primary essential to the success,22.309896,2.0860682
1,1,0.9995404481887817,emuru,9201,""" Good-bye , Dai , "" said Morfydd , smiling from the bottom step .",8.409306,-21.374632
0,0,0.00012595982116181403,iam,10192,Now Nigel had every right to go where he,-2.3356204,19.50109
0,0,0.005310562904924154,iam,8988,"know . Now , because of prior hypnosis we have es-",22.860313,3.6083336
0,0,0.2682012617588043,iam,8266,victim was a woman .,-11.545921,5.920092
0,0,0.0023759526666253805,iam,8959,apartment he garaged his car and then stood,19.990103,8.408803
0,0,0.0003763028362300247,iam,9105,"as a statesman . """,16.303955,19.82186
0,0,8.481985423713923e-05,iam,8189,essential to catch round fish whose,-7.2128243,21.491621
1,1,0.8165174722671509,emuru,9580,"from him to fondle Judy , who , sensing something",-21.098425,-7.6650753
1,1,0.9891458749771118,emuru,8519,proportion as exists among her,-23.319395,-4.7849298
1,1,0.999873161315918,emuru,8446,they broke fresh ground and called another sense,4.493985,-9.647683
1,1,0.9971178770065308,emuru,7705,back .,-11.55988,-4.871377
0,0,0.0001702018635114655,iam,9238,""" Damned if I know , boy , "" said the driver .",4.5432305,23.647867
0,0,0.00020589155610650778,iam,7912,held a high and responsible office lived in,22.369709,16.934145
1,1,0.9989225268363953,emuru,10288,of Philip lying in the other,-12.256471,-22.563494
1,1,0.9996933937072754,emuru,8128,But this southerly migration is not,-9.440538,-14.076672
1,1,0.9972817897796631,emuru,8869,"This opened up a new interest , and we plunged",-5.725718,-20.056532
1,1,0.999083399772644,emuru,8481,Among the natives of Northern Australia lizards,5.193976,-21.09419
0,0,0.016866091638803482,iam,8458,fainting appetite and added a more exquisite and,6.192995,15.920922
0,0,0.00045320173376239836,iam,9621,""" You think you could have carried more weight",5.58949,22.943653
1,1,0.9990891218185425,emuru,9199,heart that Morfydd was leaving him as surely as she was leaving Dinas .,-8.442892,-23.203302
0,0,0.001561653334647417,iam,9339,the Heavy World become changed . Some die . Most live,12.616549,9.674796
0,0,7.13285626261495e-05,iam,9491,miles .,-5.802075,24.02927
1,1,0.9902141690254211,emuru,9902,"for a hold-up as any , "" he said , reining in",-19.234612,-9.167384
0,0,0.006371813826262951,iam,9403,with their wings soon died away as the wonderful,15.053754,11.392614
0,0,0.00282282754778862,iam,9087,One wondered if this greater awareness of the physical cosmos might,11.354976,2.2179406
0,0,0.0019227808807045221,iam,10268,"They often had such a rendezvous , for",5.3576264,27.418663
1,1,0.9997765421867371,emuru,9589,"You see , it was , apparently , through a mistake",0.070214346,-25.735132
1,1,0.9985224604606628,emuru,8554,"household . Thackeray , of course , waxed enthusiastic",-14.582936,0.73607945
1,1,0.999955415725708,emuru,9745,"famous Portsmouth hostelry , second only in historic",11.903638,-19.916388
0,0,0.00018246157560497522,iam,9668,being flung against the huge boulders did the judge,-0.00995912,4.963567
1,1,0.9994169473648071,emuru,10345,then Philip was so certain that Nicholas,3.5795784,-6.7162414
0,0,0.018730981275439262,iam,8238,hazardous business .,-26.602686,-4.846727
1,1,0.9906953573226929,emuru,8758,The only concession made in view of the,1.4386095,-13.473137
1,1,0.9537301659584045,emuru,9906,But I reckon they 'll be too busy shooting at,-24.49149,-5.4516726
0,0,0.0006606095703318715,iam,9902,"for a hold-up as any , "" he said , reining in",1.6814212,4.9270067
0,0,0.0012477992568165064,iam,8173,"it , swimming at the same speed",-0.042131335,17.114952
1,1,0.9997256398200989,emuru,9651,did not act as though he found it necessary,-17.04638,-8.469046
0,0,0.0006046018679626286,iam,7798,led us to believe . Laud was enthusiastically hated,11.476675,3.112718
1,1,0.9995912909507751,emuru,7806,a sense of reverence . The Prayer Book was to be respected,-0.8293308,-19.009424
1,1,0.9975076913833618,emuru,9926,down with a shotgun outside the Palace,6.494681,-13.20443
0,0,0.00017107103485614061,iam,9152,"if you ask me . Might be jaguar , might be ...",2.619354,21.569252
1,1,0.9787591695785522,emuru,9603,Beryl tried to suppress the thought that this was,-4.988239,-12.318319
0,0,0.0050079552456736565,iam,8567,and a bowl of milk .,19.157904,8.858591
0,0,0.031521186232566833,iam,8008,the comment of Rami bar Rabh is quoted,12.092807,-0.9668881
1,1,0.9859300255775452,emuru,8809,12 o'clock at night . At that time pastries and buns,-19.246117,-15.868371
0,0,0.0045636845752596855,iam,10096,with the cigarette packet which lay on the table,4.8296394,28.153309
0,0,0.0002195887645939365,iam,7544,text with absolute precision .,20.40613,2.8554792
0,0,0.0009737497894093394,iam,8298,"Both her wrists bore the marks of severe bruising ,",12.550632,16.84838
0,0,0.0005227547371760011,iam,7952,we would find life considerably less exhausting,-1.9149088,30.825266
0,0,0.003630801336839795,iam,8229,"a verdict of "" wilful murder against some person or",12.836813,7.3095117
1,1,0.9924464821815491,emuru,7933,"homes . It is easy , desperately easy , to lead",-9.035309,2.222977
1,1,0.9895473718643188,emuru,8986,"take charge , as it were , of the minds of the",-5.2798057,-24.218273
0,0,0.0004360828024800867,iam,9064,a Mocrat Senator with a seat on the,-14.539768,20.006922
0,0,0.001146794529631734,iam,10074,seeming to clutch her heart . Gavin was,-5.9366083,22.601566
1,1,0.9903554916381836,emuru,9499,asking Jack - as a representative of the Vallin family -,-8.039187,-7.1492305
1,1,0.999906063079834,emuru,7817,unnecessary its fears were .,8.721719,-14.364999
0,0,0.016769710928201675,iam,9198,""" Good-bye , Morfydd . "" He sought to enfold her in his arms . But he was too late .",8.011991,19.834969
0,0,0.02484079822897911,iam,8692,means of that ' staple ' system which ensured that,22.85022,-3.6017337
0,0,0.01456407643854618,iam,7571,The other form of book was the codex . In this the,-10.292005,13.229358
0,0,0.006636292207986116,iam,7985,To have order does not mean getting,4.0156603,30.538574
1,1,0.997702419757843,emuru,7500,British personalities . Among them - Professor,-21.17543,-10.305977
1,1,0.9939711093902588,emuru,9997,"boy , then a young youth . He saw himself refusing",-20.932775,-7.2093406
0,0,0.016076242551207542,iam,9874,talkative lady Madeleine respected her husband's,-14.562951,5.8802104
1,1,0.9916404485702515,emuru,9675,""" My God ! "" the judge cried out . "" The boy",7.749432,-16.494356
0,0,0.043393224477767944,iam,10143,broken arm .,-17.373964,15.427069
0,0,0.09879999607801437,iam,8504,"and of Goja : it is vivid , highly coloured , sometimes",-11.745981,13.572001
1,1,0.9997350573539734,emuru,7773,able to render an account of their faith according,-8.439023,-19.836042
0,0,0.0003645151446107775,iam,7896,"inability to deal with life , especially under",-3.530382,31.496214
0,0,0.0003054342814721167,iam,9925,With something of a start I remembered the,-6.9055634,19.108095
0,0,0.038436535745859146,iam,7600,enlarged to become reservoirs or cisterns in,15.882427,1.876829
0,0,0.005296539049595594,iam,8808,dously hard work was if anything intensified . George used to,21.020845,3.7231412
1,1,0.9993301630020142,emuru,9839,"Service matters . """,-13.445081,-3.5571277
1,1,0.9994506239891052,emuru,8532,and aesthetic as well as physical . There is the same finesse,6.907007,-20.927197
0,0,0.0039400397799909115,iam,8479,peoples have a high opinion of the octopus,-6.1181216,8.660332
1,1,0.9947185516357422,emuru,10008,"hunted eyes , as if the poor fellow had rocks in",-15.291315,2.7907407
0,0,0.006373510230332613,iam,8241,"The next female fatality occurred eight years later ,",6.961961,7.829438
0,0,0.0008330659475177526,iam,8429,"how to do it , too : - When the languid flames at",23.43723,9.197537
1,1,0.9974915981292725,emuru,9252,"he cried . "" Never mind your immortal",-2.688913,-1.2890425
0,0,0.00012560526374727488,iam,8255,"immersion in gloom , and the clash of reverberated",3.3718717,18.285872
1,1,0.9995352029800415,emuru,7959,it becomes possible to work out a system,-10.639225,-14.316043
1,1,0.9998911619186401,emuru,10285,room filled him with a re-,-12.505154,-19.035765
0,0,6.390373073372757e-06,iam,9778,printed at the head of most naval articles,4.3078012,21.267584
1,1,0.9985246062278748,emuru,7616,Such a Shamir possesses the real acid,-2.450883,-31.178757
1,1,0.9997767806053162,emuru,8052,whether the Heavenly Court concurred,3.6174283,-2.0690496
1,1,0.9969903230667114,emuru,9736,"what he likes . Anyway , why pick on you to succeed",-20.457699,-13.327617
0,0,0.002979678101837635,iam,7715,"so are we deficient without spiritual knowledge , and to",-1.2717025,7.610516
0,0,0.30621784925460815,iam,8673,"booty , a new group of Lords might oust",-25.786211,-5.5661364
0,0,0.0030571422539651394,iam,10197,"found they were off duty together , and",-0.2579845,11.73684
1,1,0.999927282333374,emuru,10030,went quickly back to fetch them .,4.400422,-23.607443
