true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,1.4768923392693978e-05,iam,7957,commerce may be kept going - though if ever,4.926629,4.7153187
0,0,1.4807889783696737e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",11.069858,13.34136
1,1,0.9999028444290161,emuru,8143,"Easterly winds , on the other hand ,",-26.504974,0.56790227
1,1,0.9914673566818237,emuru,10368,"just dusty-grey but muddy , slimy even .",-4.7985096,24.025162
0,0,3.002612602998056e-09,iam,8651,needed taxation in order to supplement,-28.417814,10.476028
0,0,1.0417279538987856e-10,iam,9756,glance at him . Evidently the other occupant,13.5997925,4.5156446
1,1,0.99996018409729,emuru,7811,that children should be molly-coddled - they must be made,-23.647717,-4.659954
0,0,7.904542371761636e-07,iam,8369,The truth is that good food offers a,-2.9367168,13.092991
1,1,0.9999998807907104,emuru,8669,was quite alien to mediaeval thought - its,-8.655032,-7.5946474
1,1,0.9999628067016602,emuru,10289,coronary . And in that second,-29.682503,5.4244523
1,1,0.9999986886978149,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-5.8549023,-11.742418
0,0,7.078080482836313e-11,iam,9447,make a direct comparison between the radar,23.431368,5.586186
0,0,1.4161535943912895e-07,iam,7551,"bar , and there are cases where spacing is used as",-1.8719106,-24.458632
0,0,4.1781921026995406e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",8.280883,6.9627237
1,1,0.9999823570251465,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-12.365168,-19.692839
0,0,4.97371761831733e-12,iam,9523,ignorant child .,1.8083416,16.546227
0,0,5.258152668830007e-06,iam,9234,Morfyyd Owen was already qualifying for,11.260131,5.763164
0,0,1.9025194614163965e-11,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",1.7769651,14.880693
1,1,0.9991642236709595,emuru,7983,sympathy with the young wife,-23.708899,3.6804295
1,1,0.9999808073043823,emuru,9077,not submerged beneath a deep natural atmosphere .,-22.51133,-2.208269
0,0,1.1434749970355186e-14,iam,9300,his Eth . Morfydd thought of Dai . The,18.458067,11.10029
1,1,0.9998838901519775,emuru,7761,the throne . He was quite prepared to be,1.0466996,-20.382397
1,1,0.9999984502792358,emuru,7794,mutual . But Laud was no Romanizer . One of his,-3.1792455,-17.422022
0,0,9.70990288173823e-10,iam,7790,Prayer Book in 1637 . Significantly this made,17.747572,4.6531076
0,0,7.388257783347285e-10,iam,8366,"banquets of later days , when the table",23.703236,7.5525775
0,0,1.0538320793784806e-07,iam,8816,"and Red Flag badge , thus presenting a much",21.780575,17.287626
0,0,2.2079318373613432e-09,iam,7574,information is contemporaneous with the New Testament .,10.928511,8.605701
0,0,1.3705196699742572e-10,iam,10043,laid his hand on hers . Gay smiled at him,18.680315,24.205053
1,1,0.9971681237220764,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-24.11623,-10.061311
1,1,0.99913090467453,emuru,9612,But Forrest might at least have tried . He 's,-14.959302,-0.6674654
0,0,5.460153715830529e-07,iam,8034,need for the text of the angel are quoted,5.039624,9.041131
0,0,0.005150848999619484,iam,10194,liked during his off-duty periods,-0.9915873,-22.836407
1,1,0.9999825954437256,emuru,9672,black eyes showing any emotion . With a,-14.057123,-9.878084
0,1,0.8419314026832581,iam,8862,"with a book on the life of Marx ,",-26.83312,5.9732
0,0,4.9531385937218175e-11,iam,7515,and who is now being pluckily convivial,27.537477,0.5644339
1,1,0.9998966455459595,emuru,8517,"science of cookery , however , is",-9.311266,8.335391
1,1,0.9998533725738525,emuru,10282,"And as he spoke , the thought",-21.319921,-5.2348356
0,0,2.221756221842952e-05,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",12.101021,17.180801
1,1,0.9999802112579346,emuru,8766,"such as serpents , frogs , and the like .",-7.6699114,0.3264743
1,1,0.99994957447052,emuru,8279,"The Merstham Tunnel , on the London-to-",-10.891801,1.0187515
0,0,7.930592005322978e-07,iam,8078,revived with designs suitable for contemporary,13.984552,-15.633301
0,0,0.00024163772468455136,iam,9343,"rays , not seen or felt , which change our bodies .",-2.4237576,-23.611141
1,1,0.9999988079071045,emuru,8476,"alive , dipped in treacle and swallowed",-20.707233,-2.0588045
1,1,0.9999829530715942,emuru,8332,would not do ; nothing an American would not,-11.799333,-8.683996
0,0,4.485382376628877e-08,iam,9674,"Willie Kim was speechless , only his slant",17.527985,14.139762
1,1,0.9910277724266052,emuru,9626,on the estate was a major error :,-29.242426,2.3263123
1,1,0.9999998807907104,emuru,10050,"would never be jealous again , would even take Larry's advice and",-11.998821,-11.141703
0,0,2.3056269393695317e-10,iam,8344,ladies toying with these primitive morsels in the,16.03333,-4.379755
1,1,0.9999971389770508,emuru,7504,strike . It showed Britain today through the eyes,-11.875628,-15.796093
0,0,2.699596324262643e-09,iam,7915,to live a day at a time . Even those who,24.988718,-1.0020033
0,0,9.915331844467801e-08,iam,7491,"him of his ugly battle-dress , to leave him for",10.117894,8.675003
1,1,0.9999287128448486,emuru,8707,officials had formerly made private bargains,-24.01879,-1.657327
0,0,4.81148845210555e-08,iam,8207,named Brown .,11.74075,23.365522
1,1,0.9999271631240845,emuru,8204,"which to proceed , and the inquest was",-25.48999,1.7732986
0,0,2.8353283262894102e-12,iam,8653,taxation not merely for defence and,28.298178,-5.9377384
0,0,5.404336533842979e-09,iam,10049,"moon was just rising over the rocks , then",18.193707,23.374327
