true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.022775525227189064,iam,7957,commerce may be kept going - though if ever,17.02564,-5.1612015
0,0,0.0005097819957882166,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",10.832218,33.034264
1,1,0.9975323677062988,emuru,8143,"Easterly winds , on the other hand ,",-6.734795,-45.62982
1,0,0.23147809505462646,emuru,10368,"just dusty-grey but muddy , slimy even .",-21.522503,19.730202
0,0,3.812403726044522e-09,iam,8651,needed taxation in order to supplement,-13.241751,39.587013
0,0,1.470261956626473e-08,iam,9756,glance at him . Evidently the other occupant,23.072426,-0.8725932
1,1,0.9896621704101562,emuru,7811,that children should be molly-coddled - they must be made,8.596773,-17.78459
0,0,2.4937980924732983e-07,iam,8369,The truth is that good food offers a,-4.792995,16.196903
1,1,0.9997246861457825,emuru,8669,was quite alien to mediaeval thought - its,-12.084187,-6.814845
1,1,0.5541976094245911,emuru,10289,coronary . And in that second,-7.610642,-55.24081
1,1,0.9991043210029602,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-15.989676,-22.873693
0,0,1.2503309108069516e-06,iam,9447,make a direct comparison between the radar,11.150541,24.418108
0,0,2.613428193853906e-07,iam,7551,"bar , and there are cases where spacing is used as",18.17337,25.121653
0,0,2.1030115021858364e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",17.632845,8.764139
1,1,0.9998310804367065,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-0.92868894,-13.010766
0,0,8.284231078903304e-10,iam,9523,ignorant child .,1.0305896,9.355007
0,0,2.8833022952312604e-05,iam,9234,Morfyyd Owen was already qualifying for,17.59823,6.8011713
0,0,4.6815284093781884e-08,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",8.183483,46.23495
1,1,0.9476136565208435,emuru,7983,sympathy with the young wife,-4.571085,-47.659622
1,1,0.7061157822608948,emuru,9077,not submerged beneath a deep natural atmosphere .,3.327192,-29.006554
0,0,7.189112860572777e-09,iam,9300,his Eth . Morfydd thought of Dai . The,-5.155417,41.219128
1,1,0.9994625449180603,emuru,7761,the throne . He was quite prepared to be,-16.178871,-3.9817665
1,1,0.9968949556350708,emuru,7794,mutual . But Laud was no Romanizer . One of his,-14.965347,-14.907357
0,0,3.172915485905037e-09,iam,7790,Prayer Book in 1637 . Significantly this made,20.208403,10.6170635
0,0,7.948494129550454e-08,iam,8366,"banquets of later days , when the table",14.473547,23.557718
0,0,8.371088142666849e-07,iam,8816,"and Red Flag badge , thus presenting a much",-10.904193,39.841404
0,0,4.534897257713055e-08,iam,7574,information is contemporaneous with the New Testament .,2.6706533,27.6694
0,0,1.0664731320275678e-09,iam,10043,laid his hand on hers . Gay smiled at him,27.852013,20.267982
1,1,0.8751189112663269,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-5.146748,-32.407784
1,1,0.9942712783813477,emuru,9612,But Forrest might at least have tried . He 's,4.494106,-20.736256
0,0,0.0002607471542432904,iam,8034,need for the text of the angel are quoted,6.3818874,15.004229
