true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.04940696805715561,iam,7957,commerce may be kept going - though if ever,13.876664,-18.493347
0,0,0.0014456723583862185,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-11.969041,-6.7349286
1,1,0.9999402761459351,emuru,8143,"Easterly winds , on the other hand ,",23.909185,19.27198
1,1,0.6147764921188354,emuru,10368,"just dusty-grey but muddy , slimy even .",-24.554268,3.6899147
0,0,1.530493598522753e-08,iam,8651,needed taxation in order to supplement,-28.870737,-12.902637
0,0,5.9356530357490556e-08,iam,9756,glance at him . Evidently the other occupant,14.485791,-22.310055
1,1,0.9989868998527527,emuru,7811,that children should be molly-coddled - they must be made,17.833914,-3.6493182
0,0,5.058570877736202e-07,iam,8369,The truth is that good food offers a,-14.519222,-0.82486886
1,1,0.999923825263977,emuru,8669,was quite alien to mediaeval thought - its,-5.4219365,12.159585
1,1,0.9100198745727539,emuru,10289,coronary . And in that second,27.008318,23.892715
1,1,0.999895453453064,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",8.5302105,14.134329
0,0,4.407976575748762e-06,iam,9447,make a direct comparison between the radar,-20.610989,-6.252041
0,0,1.1275511724306853e-06,iam,7551,"bar , and there are cases where spacing is used as",2.4149137,-1.3078732
0,0,3.1144300010055304e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",3.4215238,-16.792427
1,1,0.9999785423278809,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-2.6153233,14.403499
0,0,3.775784684911798e-10,iam,9523,ignorant child .,-12.18641,5.637809
0,0,5.68095529160928e-05,iam,9234,Morfyyd Owen was already qualifying for,4.97777,-15.611079
0,0,5.647475376235889e-08,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-8.826366,2.2023351
1,1,0.9927417039871216,emuru,7983,sympathy with the young wife,25.17144,18.406298
1,1,0.9360273480415344,emuru,9077,not submerged beneath a deep natural atmosphere .,11.940194,-1.9191527
0,0,4.735698500013541e-09,iam,9300,his Eth . Morfydd thought of Dai . The,-25.242523,-14.588896
1,1,0.9997360110282898,emuru,7761,the throne . He was quite prepared to be,-9.559633,16.467009
1,1,0.9992977380752563,emuru,7794,mutual . But Laud was no Romanizer . One of his,5.9990396,14.050906
0,0,4.593674773900602e-09,iam,7790,Prayer Book in 1637 . Significantly this made,1.2276134,-15.011091
0,0,1.8619120112361998e-07,iam,8366,"banquets of later days , when the table",-5.758955,-4.208648
0,0,5.441512485049316e-07,iam,8816,"and Red Flag badge , thus presenting a much",-27.191404,-10.875715
0,0,1.775336642140246e-07,iam,7574,information is contemporaneous with the New Testament .,-13.169064,-21.260807
0,0,1.9015200525274167e-09,iam,10043,laid his hand on hers . Gay smiled at him,0.72456366,-5.6753254
1,1,0.9695186614990234,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,19.67135,5.006474
1,1,0.9994491934776306,emuru,9612,But Forrest might at least have tried . He 's,9.07238,2.6707954
0,0,0.0003714603080879897,iam,8034,need for the text of the angel are quoted,-13.081087,0.9741241
0,0,0.011121159419417381,iam,10194,liked during his off-duty periods,-22.725452,9.009061
1,1,0.9995496869087219,emuru,9672,black eyes showing any emotion . With a,8.946629,6.467576
0,1,0.9488024115562439,iam,8862,"with a book on the life of Marx ,",27.036661,24.96538
0,0,1.0187504173586603e-09,iam,7515,and who is now being pluckily convivial,-2.3515494,-1.8316243
1,1,0.9985718727111816,emuru,8517,"science of cookery , however , is",-8.90234,-20.48442
1,1,0.9985352754592896,emuru,10282,"And as he spoke , the thought",24.46984,20.205814
0,0,0.0019363868050277233,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-15.802242,-13.591586
1,1,0.9991361498832703,emuru,8766,"such as serpents , frogs , and the like .",-4.675919,15.582295
1,1,0.999526858329773,emuru,8279,"The Merstham Tunnel , on the London-to-",-7.6438203,19.85946
0,0,2.495659146006801e-06,iam,8078,revived with designs suitable for contemporary,10.408372,0.02526277
0,0,0.0033108205534517765,iam,9343,"rays , not seen or felt , which change our bodies .",-22.604776,11.523373
1,1,0.9999912977218628,emuru,8476,"alive , dipped in treacle and swallowed",19.043074,9.385487
1,1,0.9840236902236938,emuru,8332,would not do ; nothing an American would not,4.835628,14.199381
0,0,7.895012004155433e-07,iam,9674,"Willie Kim was speechless , only his slant",-12.390713,-11.106252
1,1,0.9998527765274048,emuru,9626,on the estate was a major error :,25.866583,25.851389
1,1,0.9999649524688721,emuru,10050,"would never be jealous again , would even take Larry's advice and",8.119863,18.832003
0,0,1.0952499707173047e-07,iam,8344,ladies toying with these primitive morsels in the,-1.4888325,-14.242162
1,1,0.9999401569366455,emuru,7504,strike . It showed Britain today through the eyes,5.674341,14.512772
0,0,5.90833842579741e-05,iam,7915,to live a day at a time . Even those who,-6.9533157,-1.287548
0,0,8.386094236811914e-07,iam,7491,"him of his ugly battle-dress , to leave him for",-13.201469,-12.025989
1,1,0.9969992637634277,emuru,8707,officials had formerly made private bargains,-5.5282397,1.8677295
0,0,0.00017941485566552728,iam,8207,named Brown .,-16.756918,-21.09977
1,1,0.9990646243095398,emuru,8204,"which to proceed , and the inquest was",18.600718,13.663954
0,0,2.131408938232937e-10,iam,8653,taxation not merely for defence and,-1.4910669,-2.6098213
0,0,1.427603820047807e-06,iam,10049,"moon was just rising over the rocks , then",-13.352363,-18.178143
0,0,1.1826882655441295e-06,iam,9237,""" Where are we going , Mam ? "" inquired little",5.345842,-15.463078
0,0,5.7865310765237155e-08,iam,8773,contraction of the ventricles . Going on in Chapter Three,-5.04842,-0.8141482
0,0,4.392793471197365e-06,iam,9862,""" Ever been to Fleet Street ? "" asked Bawley .",-8.653024,-12.720682
1,1,0.9522356986999512,emuru,7953,aimlessly along is more wearying than any-,17.987694,-12.876687
0,0,2.4469582058372907e-05,iam,9857,give me a ring at this number and I 'll,2.2677817,-10.792699
1,1,0.998267650604248,emuru,8655,"crown lands , the fees of feudalism",-23.120659,7.6049647
0,0,1.3405994650383946e-05,iam,8237,yet so strange were the circumstances that it was,-6.8217545,-3.8261905
1,1,0.9946340322494507,emuru,8650,those in authority to find some simple,23.25823,-5.954137
0,0,2.517421080483473e-07,iam,8248,"of a railway will be worse than Ipecacuanha , """,-7.6384487,-5.05994
1,1,0.972378134727478,emuru,8634,"Calais , Cherbourg , Brest , Bordeaux and Bayonne ,",22.314993,-4.4749913
0,0,0.00810255203396082,iam,9937,"unreadable as a rock . "" Let 's get over to the",-7.720522,3.2889683
1,1,0.9910914301872253,emuru,8028,texts to support the thesis of R. Joshua b. Levi .,13.94373,14.458452
1,1,0.9999566078186035,emuru,9221,precious than jewels . Though Mofydd Owen,22.46321,13.989881
0,0,1.0539004335896607e-07,iam,8540,waxed enthusiastic about Bouilla-,-22.78212,-12.325064
0,0,0.0012632784200832248,iam,9035,"Finally , being so obviously on their own ,",9.949545,9.148964
0,0,2.128013329638634e-05,iam,9626,on the estate was a major error :,-18.258852,0.3808994
1,1,0.9998014569282532,emuru,9307,On the back seat Stan Hayball embraced,-15.471549,12.13775
1,1,0.9999183416366577,emuru,8822,"on West Street , where a successful Sunday",16.811913,9.76146
1,1,0.9997127652168274,emuru,8946,"over his head and yawned agape ,",-9.197895,-17.535694
1,1,0.9920979738235474,emuru,7992,into a dull routine . I have great,13.344386,2.4176905
1,1,0.999994158744812,emuru,8486,"it and dry it , in which form , dusted",26.196665,21.383617
1,1,0.9999984502792358,emuru,9636,"would be 3"" plenty , plenty sad "" not to be back",19.184835,12.253605
0,0,9.763458592715324e-07,iam,9210,"reasonably . "" Start running punctual and where are you ? People get",-16.710356,4.0218434
0,0,0.002985622501000762,iam,9787,""" Oh , the Press , "" said Seaweed . "" Down here on business , Mr.",-18.667767,-7.7051353
1,1,0.9994255304336548,emuru,8066,' The Holy Spirit manifested itself in three places :,5.852337,7.084987
0,0,0.2177412509918213,iam,9197,"trees and bushes , that stood well out over the lake .",-19.930662,-19.225676
1,1,0.9981542229652405,emuru,7542,written in Greek . A modern text of the,23.682415,-5.6949816
1,1,0.9996042847633362,emuru,10291,will contact your new doctor,3.2617786,-26.599857
1,1,0.9995524287223816,emuru,7971,"As it is , with so much of our life already",0.548111,12.404861
0,0,0.0001310500520048663,iam,7840,the way to face life . To see all the latent,-10.795605,-5.6621327
1,1,0.9981364011764526,emuru,8701,"first , the Church , which wisely followed the lead",13.786617,3.4911842
0,0,0.0011147154727950692,iam,8122,be accidental . Yet there will always be some,-19.55713,-17.218456
0,0,0.00016835055430419743,iam,9183,"any rate they remained with us , perhaps",-6.224572,-7.3550153
0,0,0.003644971875473857,iam,10209,dancing with a blonde at eight-thirty that,-7.7222958,-5.6416373
1,1,0.9996819496154785,emuru,7654,"Then the whole earth will be His Altar . "" And it",5.9065967,9.049711
0,0,0.006451228633522987,iam,9196,"was impatient for it . This afternoon , then , we climbed",-20.675463,-18.083626
0,0,6.007026431831264e-09,iam,8466,"According to Pliny , and others , certain herbs",-5.1713595,-23.191965
0,0,4.1414270526729524e-05,iam,7734,how to live and accept all the bitterness,-24.103502,-6.267688
0,0,9.0020485288278e-08,iam,8396,delicacy - sought inspiration at last from,-18.289888,5.403246
0,0,1.2007666860824884e-08,iam,8640,then the primary essential to the success,2.396255,-6.9502034
1,1,0.999568521976471,emuru,9201,""" Good-bye , Dai , "" said Morfydd , smiling from the bottom step .",25.086798,1.9373829
0,0,0.0014767395332455635,iam,10192,Now Nigel had every right to go where he,-17.248251,-9.188081
0,0,9.421218249983099e-10,iam,8988,"know . Now , because of prior hypnosis we have es-",0.7125966,-6.786019
0,0,0.39230912923812866,iam,8266,victim was a woman .,-22.825228,-17.696508
0,0,4.765684380458879e-08,iam,8959,apartment he garaged his car and then stood,-1.7188,-12.568339
0,0,2.9541925528064894e-07,iam,9105,"as a statesman . """,-12.699497,2.6085055
0,0,7.750323902655509e-07,iam,8189,essential to catch round fish whose,-21.65666,-12.0436945
1,1,0.9997475743293762,emuru,9580,"from him to fondle Judy , who , sensing something",9.835243,-7.4932413
1,1,0.9950340986251831,emuru,8519,proportion as exists among her,25.659601,11.553288
1,1,0.9998863935470581,emuru,8446,they broke fresh ground and called another sense,3.2722688,8.232101
1,1,0.9995075464248657,emuru,7705,back .,-1.9901589,25.323235
0,0,3.3042559266505123e-07,iam,9238,""" Damned if I know , boy , "" said the driver .",-5.934152,-13.005363
0,0,3.6255944451113464e-06,iam,7912,held a high and responsible office lived in,-1.2550051,-0.7596426
1,1,0.9999785423278809,emuru,10288,of Philip lying in the other,25.376959,19.543673
1,1,0.9992807507514954,emuru,8128,But this southerly migration is not,15.452543,-17.603823
1,1,0.9996750354766846,emuru,8869,"This opened up a new interest , and we plunged",21.815462,-1.8772795
1,1,0.9999992847442627,emuru,8481,Among the natives of Northern Australia lizards,16.912128,18.488516
0,0,1.136533924750438e-07,iam,8458,fainting appetite and added a more exquisite and,-12.81859,-23.429834
0,0,1.936100261445972e-06,iam,9621,""" You think you could have carried more weight",-4.061124,-12.033876
1,1,0.9999985694885254,emuru,9199,heart that Morfydd was leaving him as surely as she was leaving Dinas .,19.312721,17.566439
0,0,2.0633928215829656e-05,iam,9339,the Heavy World become changed . Some die . Most live,-7.7104,-8.692212
0,0,7.93853605074446e-09,iam,9491,miles .,-23.96866,-13.619135
1,1,0.994195818901062,emuru,9902,"for a hold-up as any , "" he said , reining in",17.548098,-5.3327227
0,0,0.0003823063161689788,iam,9403,with their wings soon died away as the wonderful,3.9984488,0.575093
0,0,0.0056623187847435474,iam,9087,One wondered if this greater awareness of the physical cosmos might,14.225335,5.907504
0,0,8.587453339714557e-05,iam,10268,"They often had such a rendezvous , for",15.082596,-19.732103
1,1,0.999813973903656,emuru,9589,"You see , it was , apparently , through a mistake",15.770306,11.981697
1,1,0.9998980760574341,emuru,8554,"household . Thackeray , of course , waxed enthusiastic",-0.14261128,23.097208
1,1,0.9999604225158691,emuru,9745,"famous Portsmouth hostelry , second only in historic",14.813522,2.4478796
0,0,7.907913095550612e-05,iam,9668,being flung against the huge boulders did the judge,-23.656328,1.5162277
1,1,0.9978657364845276,emuru,10345,then Philip was so certain that Nicholas,-2.2298381,22.838335
0,0,0.032166726887226105,iam,8238,hazardous business .,27.116322,25.537527
1,1,0.9833272099494934,emuru,8758,The only concession made in view of the,-23.775597,5.056418
1,1,0.9864203929901123,emuru,9906,But I reckon they 'll be too busy shooting at,27.054304,23.449005
