true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.008360964246094227,iam,7957,commerce may be kept going - though if ever,-27.220198,17.663519
0,0,1.858798168541398e-05,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-28.968525,-8.754813
1,1,0.9999339580535889,emuru,8143,"Easterly winds , on the other hand ,",51.638012,-3.0233555
1,1,0.9968898892402649,emuru,10368,"just dusty-grey but muddy , slimy even .",2.0056686,-15.176054
0,0,3.0141185561660677e-05,iam,8651,needed taxation in order to supplement,6.8095694,-17.080011
0,0,2.0260379187675426e-06,iam,9756,glance at him . Evidently the other occupant,-28.248472,22.539724
1,1,0.998388409614563,emuru,7811,that children should be molly-coddled - they must be made,13.650931,-13.238527
0,0,4.724036443803925e-06,iam,8369,The truth is that good food offers a,-16.111237,0.23444393
1,1,0.9999980926513672,emuru,8669,was quite alien to mediaeval thought - its,7.2833657,4.255574
1,1,0.9786602854728699,emuru,10289,coronary . And in that second,57.41162,-1.1479571
1,1,0.9999994039535522,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",8.904371,2.2675228
0,0,2.4902148652472533e-05,iam,9447,make a direct comparison between the radar,-12.276586,-6.247216
0,0,0.0014993222430348396,iam,7551,"bar , and there are cases where spacing is used as",0.058913596,7.8531175
0,0,0.00016785445041023195,iam,9614,"with Sir John ? "" she enquired cuttingly .",-18.178625,12.055209
1,1,1.0,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",29.070824,0.36637035
0,0,4.865033406531438e-05,iam,9523,ignorant child .,9.0610285,-14.828158
0,0,3.261859831127367e-07,iam,9234,Morfyyd Owen was already qualifying for,-17.778885,13.566465
0,0,1.3275483468078164e-07,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-6.8741193,-0.37065458
1,1,0.9998145699501038,emuru,7983,sympathy with the young wife,52.842777,-4.6633563
1,1,0.9999285936355591,emuru,9077,not submerged beneath a deep natural atmosphere .,33.242966,-7.374023
0,0,8.432817821812932e-07,iam,9300,his Eth . Morfydd thought of Dai . The,-20.393515,5.6916156
1,1,0.9969868063926697,emuru,7761,the throne . He was quite prepared to be,-2.4930604,-7.705144
1,1,0.999994158744812,emuru,7794,mutual . But Laud was no Romanizer . One of his,17.434835,4.672513
0,0,7.695301974308677e-06,iam,7790,Prayer Book in 1637 . Significantly this made,-14.880875,11.186087
0,0,2.123367266904097e-05,iam,8366,"banquets of later days , when the table",-10.660777,-6.1866145
0,0,0.00013469574332702905,iam,8816,"and Red Flag badge , thus presenting a much",-9.002339,-9.289838
0,0,0.0002589522337075323,iam,7574,information is contemporaneous with the New Testament .,-25.942577,4.1407833
0,0,0.00043672576430253685,iam,10043,laid his hand on hers . Gay smiled at him,-0.604184,14.526735
1,1,0.999991774559021,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,20.813374,0.3595203
1,1,0.9998583793640137,emuru,9612,But Forrest might at least have tried . He 's,41.00875,-5.6643195
0,0,1.4045520401850808e-05,iam,8034,need for the text of the angel are quoted,-14.132828,2.7874014
0,0,9.164759103441611e-05,iam,10194,liked during his off-duty periods,-18.383326,-15.210119
1,1,0.999923825263977,emuru,9672,black eyes showing any emotion . With a,40.68522,-3.894374
0,0,0.0734531581401825,iam,8862,"with a book on the life of Marx ,",56.077873,-3.426738
0,0,1.9693611648108345e-06,iam,7515,and who is now being pluckily convivial,8.246137,13.239877
1,1,0.9999632835388184,emuru,8517,"science of cookery , however , is",-26.363613,5.112554
1,1,0.9999977350234985,emuru,10282,"And as he spoke , the thought",52.081898,-3.4271734
0,0,0.001293074805289507,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-22.317265,0.279152
1,1,0.999993085861206,emuru,8766,"such as serpents , frogs , and the like .",33.66906,-2.9976869
1,1,1.0,emuru,8279,"The Merstham Tunnel , on the London-to-",4.487737,-5.4769907
0,0,2.6835348307940876e-06,iam,8078,revived with designs suitable for contemporary,-5.6849685,8.458667
0,0,1.252946049135062e-06,iam,9343,"rays , not seen or felt , which change our bodies .",-22.59802,-12.632192
1,1,0.999997615814209,emuru,8476,"alive , dipped in treacle and swallowed",47.54109,-3.1598594
1,1,0.9999736547470093,emuru,8332,would not do ; nothing an American would not,10.416348,3.280736
0,0,1.946533387808813e-07,iam,9674,"Willie Kim was speechless , only his slant",-28.676722,-3.9822862
1,1,0.9969378709793091,emuru,9626,on the estate was a major error :,56.063953,-1.9968001
1,1,0.9999994039535522,emuru,10050,"would never be jealous again , would even take Larry's advice and",23.280762,8.466836
0,0,5.842895552632399e-05,iam,8344,ladies toying with these primitive morsels in the,-7.5315905,12.104944
1,1,0.9999994039535522,emuru,7504,strike . It showed Britain today through the eyes,26.469465,1.674722
0,0,0.0001900510978884995,iam,7915,to live a day at a time . Even those who,10.252836,15.5010195
