true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.007053598761558533,iam,7957,commerce may be kept going - though if ever,-3.9085865,7.4135957
0,0,0.0014148206682875752,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-26.430067,18.99789
1,1,0.9999971389770508,emuru,8143,"Easterly winds , on the other hand ,",37.83941,-34.398838
1,1,0.9860627055168152,emuru,10368,"just dusty-grey but muddy , slimy even .",19.727375,15.909773
0,0,1.96381266803769e-09,iam,8651,needed taxation in order to supplement,-20.805332,36.158764
0,0,5.213323994723851e-09,iam,9756,glance at him . Evidently the other occupant,0.44700745,6.6991134
1,1,0.9986009001731873,emuru,7811,that children should be molly-coddled - they must be made,-4.476509,-8.087816
0,0,6.044842848496046e-07,iam,8369,The truth is that good food offers a,-2.0388274,20.778942
1,1,1.0,emuru,8669,was quite alien to mediaeval thought - its,13.168513,-6.429563
1,1,0.9858846068382263,emuru,10289,coronary . And in that second,42.186874,-42.028164
1,1,0.9999781847000122,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",13.6075325,0.3181728
0,0,2.845790731953457e-06,iam,9447,make a direct comparison between the radar,-27.812544,11.201185
0,0,1.9535086721589323e-06,iam,7551,"bar , and there are cases where spacing is used as",-26.944979,4.1501265
0,0,3.309824751340784e-05,iam,9614,"with Sir John ? "" she enquired cuttingly .",-14.364634,3.931583
1,1,1.0,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",19.242739,-10.559453
0,0,2.5579955931220866e-08,iam,9523,ignorant child .,-35.978397,16.403807
0,0,3.3803178666858e-05,iam,9234,Morfyyd Owen was already qualifying for,-12.582368,3.3778517
0,0,2.2995997994712525e-07,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-28.5316,34.212082
1,1,0.9999880790710449,emuru,7983,sympathy with the young wife,35.874294,-34.070614
1,1,0.9999996423721313,emuru,9077,not submerged beneath a deep natural atmosphere .,36.52877,-23.0034
0,0,3.1155067414800897e-09,iam,9300,his Eth . Morfydd thought of Dai . The,-24.70702,31.475378
1,1,0.9999998807907104,emuru,7761,the throne . He was quite prepared to be,7.3020387,-3.0606833
1,1,1.0,emuru,7794,mutual . But Laud was no Romanizer . One of his,23.104328,-15.341836
0,0,2.4871852133401262e-08,iam,7790,Prayer Book in 1637 . Significantly this made,-16.086147,3.2547154
0,0,2.9234919907139556e-07,iam,8366,"banquets of later days , when the table",-27.559841,8.110928
0,0,6.821100129172919e-08,iam,8816,"and Red Flag badge , thus presenting a much",-21.1979,34.237747
0,0,7.999840789807422e-08,iam,7574,information is contemporaneous with the New Testament .,-17.637804,19.116058
0,0,5.302577932297936e-09,iam,10043,laid his hand on hers . Gay smiled at him,-25.060673,-5.486162
1,1,1.0,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,24.974092,-19.06956
