true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,0.008405471220612526,iam,7957,commerce may be kept going - though if ever,17.02564,-5.1612015
0,0,0.0007591118919663131,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",10.832218,33.034264
1,1,0.9999474287033081,emuru,8143,"Easterly winds , on the other hand ,",-6.734795,-45.62982
1,1,0.9815847873687744,emuru,10368,"just dusty-grey but muddy , slimy even .",-21.522503,19.730202
0,0,1.5642730444298536e-09,iam,8651,needed taxation in order to supplement,-13.241751,39.587013
0,0,9.259212285783747e-10,iam,9756,glance at him . Evidently the other occupant,23.072426,-0.8725932
1,1,0.9991562366485596,emuru,7811,that children should be molly-coddled - they must be made,8.596773,-17.78459
0,0,8.141494163282914e-07,iam,8369,The truth is that good food offers a,-4.792995,16.196903
1,1,0.9999998807907104,emuru,8669,was quite alien to mediaeval thought - its,-12.084187,-6.814845
1,1,0.7208479642868042,emuru,10289,coronary . And in that second,-7.610642,-55.24081
1,1,0.9999945163726807,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-15.989676,-22.873693
0,0,1.351207714606062e-07,iam,9447,make a direct comparison between the radar,11.150541,24.418108
0,0,7.251984612821616e-08,iam,7551,"bar , and there are cases where spacing is used as",18.17337,25.121653
0,0,5.576956027653068e-06,iam,9614,"with Sir John ? "" she enquired cuttingly .",17.632845,8.764139
1,1,0.9994558691978455,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-0.92868894,-13.010766
0,0,1.6712564665510854e-09,iam,9523,ignorant child .,1.0305896,9.355007
0,0,4.364228061604081e-06,iam,9234,Morfyyd Owen was already qualifying for,17.59823,6.8011713
0,0,2.1595731425350095e-08,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",8.183483,46.23495
1,1,0.999678373336792,emuru,7983,sympathy with the young wife,-4.571085,-47.659622
1,1,0.9980624318122864,emuru,9077,not submerged beneath a deep natural atmosphere .,3.327192,-29.006554
0,0,1.3623548955621345e-09,iam,9300,his Eth . Morfydd thought of Dai . The,-5.155417,41.219128
1,1,0.9999904632568359,emuru,7761,the throne . He was quite prepared to be,-16.178871,-3.9817665
1,1,0.9998788833618164,emuru,7794,mutual . But Laud was no Romanizer . One of his,-14.965347,-14.907357
0,0,3.9872855017719644e-10,iam,7790,Prayer Book in 1637 . Significantly this made,20.208403,10.6170635
0,0,1.5591920643487356e-08,iam,8366,"banquets of later days , when the table",14.473547,23.557718
0,0,1.9297829112474574e-08,iam,8816,"and Red Flag badge , thus presenting a much",-10.904193,39.841404
0,0,3.2341815892067416e-09,iam,7574,information is contemporaneous with the New Testament .,2.6706533,27.6694
0,0,5.623410764821202e-11,iam,10043,laid his hand on hers . Gay smiled at him,27.852013,20.267982
1,1,0.9849228858947754,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-5.146748,-32.407784
1,1,0.9975100755691528,emuru,9612,But Forrest might at least have tried . He 's,4.494106,-20.736256
0,0,0.0008988214540295303,iam,8034,need for the text of the angel are quoted,6.3818874,15.004229
0,0,0.0053526307456195354,iam,10194,liked during his off-duty periods,-21.368189,13.911658
1,1,0.9998440742492676,emuru,9672,black eyes showing any emotion . With a,-11.482551,-2.949668
0,1,0.8034817576408386,iam,8862,"with a book on the life of Marx ,",-5.95906,-56.055824
0,0,3.3505219432239386e-11,iam,7515,and who is now being pluckily convivial,21.445847,29.754734
1,1,0.9997857213020325,emuru,8517,"science of cookery , however , is",-8.270062,6.293239
1,1,0.9924708604812622,emuru,10282,"And as he spoke , the thought",-7.010781,-47.27704
0,0,7.760534208500758e-05,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",-2.915825,30.064426
1,1,0.9997944235801697,emuru,8766,"such as serpents , frogs , and the like .",-0.27614367,-8.103251
1,1,0.9999284744262695,emuru,8279,"The Merstham Tunnel , on the London-to-",-16.945364,-2.1043112
0,0,3.1208554673867184e-07,iam,8078,revived with designs suitable for contemporary,5.8289814,-25.001143
0,0,0.0036728300619870424,iam,9343,"rays , not seen or felt , which change our bodies .",-25.068117,13.305054
1,1,0.9999990463256836,emuru,8476,"alive , dipped in treacle and swallowed",-1.5077165,-31.395624
1,1,0.9980558156967163,emuru,8332,would not do ; nothing an American would not,-14.37274,-14.718089
0,0,3.486975685973448e-07,iam,9674,"Willie Kim was speechless , only his slant",4.20691,27.69316
1,1,0.9988723397254944,emuru,9626,on the estate was a major error :,-4.469188,-53.723198
1,1,0.9999985694885254,emuru,10050,"would never be jealous again , would even take Larry's advice and",-18.868887,-22.291851
0,0,1.867230281504817e-08,iam,8344,ladies toying with these primitive morsels in the,20.185732,18.378878
1,1,0.9999868869781494,emuru,7504,strike . It showed Britain today through the eyes,-15.665549,-14.827873
0,0,2.0262453404029657e-07,iam,7915,to live a day at a time . Even those who,16.763351,33.377693
0,0,5.273477654554881e-07,iam,7491,"him of his ugly battle-dress , to leave him for",2.1843536,26.385258
1,1,0.9861251711845398,emuru,8707,officials had formerly made private bargains,9.554695,-29.280163
0,0,2.1534174265980255e-06,iam,8207,named Brown .,-1.1301475,42.76071
1,1,0.9997172951698303,emuru,8204,"which to proceed , and the inquest was",-18.114338,-33.795765
0,0,2.4845547494378728e-11,iam,8653,taxation not merely for defence and,23.182314,28.838234
0,0,5.526928248400509e-09,iam,10049,"moon was just rising over the rocks , then",-0.7935024,21.78139
