true_label,pred_label,prob_fake,source,idx,text,tsne_x,tsne_y
0,0,2.9094095225445926e-05,iam,7957,commerce may be kept going - though if ever,-10.11708,-42.686348
0,0,0.00017920164100360125,iam,9341,"' Be silent , woman , and listen , ' Band Appa Bondi said .",-3.2107692,-7.3365197
1,1,0.9999094009399414,emuru,8143,"Easterly winds , on the other hand ,",9.040536,32.534275
1,1,0.9997180104255676,emuru,10368,"just dusty-grey but muddy , slimy even .",7.7048492,29.82068
0,0,4.764460391015746e-05,iam,8651,needed taxation in order to supplement,-10.76337,-22.477715
0,0,9.51316633290844e-06,iam,9756,glance at him . Evidently the other occupant,-0.9013373,-40.28887
1,1,0.9999427795410156,emuru,7811,that children should be molly-coddled - they must be made,18.92952,22.967731
0,0,0.001205283566378057,iam,8369,The truth is that good food offers a,-4.607336,-29.86456
1,1,0.9999570846557617,emuru,8669,was quite alien to mediaeval thought - its,-13.71707,27.874704
1,1,0.9991992115974426,emuru,10289,coronary . And in that second,6.898645,53.09138
1,1,0.9999816417694092,emuru,10203,"Junior Medical Officer . "" You won't be free about nine , I",-5.7302423,23.862068
0,0,2.9766100851702504e-05,iam,9447,make a direct comparison between the radar,0.5766011,-26.715202
0,0,4.10991788157844e-06,iam,7551,"bar , and there are cases where spacing is used as",13.186121,-23.10432
0,0,0.00016227079322561622,iam,9614,"with Sir John ? "" she enquired cuttingly .",-11.825053,-37.411053
1,1,0.9999827146530151,emuru,7499,"The film replaced "" What 's My Line ? "" and "" Be My",-7.091631,49.1419
0,0,5.47044983250089e-05,iam,9523,ignorant child .,-5.6284404,-31.411291
0,0,2.9258701033541e-05,iam,9234,Morfyyd Owen was already qualifying for,-15.4398775,-13.579677
0,0,1.822543708840385e-05,iam,9777,"strangers - that 's right , John , isn't it ? "" "" My",-14.049418,-34.24857
1,1,0.999984860420227,emuru,7983,sympathy with the young wife,7.244583,45.873318
1,1,0.9990060925483704,emuru,9077,not submerged beneath a deep natural atmosphere .,11.6934595,21.636354
0,0,6.560720066772774e-05,iam,9300,his Eth . Morfydd thought of Dai . The,-6.0075006,-33.17763
1,1,0.9999171495437622,emuru,7761,the throne . He was quite prepared to be,14.025594,23.09828
1,1,0.9996103644371033,emuru,7794,mutual . But Laud was no Romanizer . One of his,9.818292,30.604143
0,0,3.0048029657336883e-05,iam,7790,Prayer Book in 1637 . Significantly this made,0.13993306,-46.72382
0,0,0.00012533190601971,iam,8366,"banquets of later days , when the table",14.75252,-22.493366
0,0,7.270296919159591e-05,iam,8816,"and Red Flag badge , thus presenting a much",-4.272922,-50.489395
0,0,7.92251194070559e-06,iam,7574,information is contemporaneous with the New Testament .,2.359095,-32.416035
0,0,3.741885666386224e-05,iam,10043,laid his hand on hers . Gay smiled at him,9.370228,-20.734556
1,1,0.9999724626541138,emuru,8107,In this 200-fathom trench the herring do not touch the bottom .,-1.888743,12.462352
1,1,0.9999821186065674,emuru,9612,But Forrest might at least have tried . He 's,1.6341815,18.372663
0,0,0.00018985946371685714,iam,8034,need for the text of the angel are quoted,-11.656116,-9.620972
0,0,0.0010528378188610077,iam,10194,liked during his off-duty periods,-4.2876463,-11.612863
1,1,0.9999401569366455,emuru,9672,black eyes showing any emotion . With a,5.61802,31.348007
0,0,0.014323734678328037,iam,8862,"with a book on the life of Marx ,",-1.1716597,-8.137937
0,0,5.1007555157411844e-05,iam,7515,and who is now being pluckily convivial,-0.8875366,-33.799736
1,1,0.9999626874923706,emuru,8517,"science of cookery , however , is",-11.682008,38.65197
1,1,0.9999338388442993,emuru,10282,"And as he spoke , the thought",8.356512,24.533043
0,0,0.00034362729638814926,iam,7709,"are used on Passover , to depict the "" time of our freedom "" .",0.38601235,-17.465523
1,1,0.9999872446060181,emuru,8766,"such as serpents , frogs , and the like .",-0.73910767,39.3965
1,1,0.9999536275863647,emuru,8279,"The Merstham Tunnel , on the London-to-",7.5809436,44.657337
0,0,2.2279047698248178e-05,iam,8078,revived with designs suitable for contemporary,-0.023396632,-42.091896
0,0,9.184426016872749e-05,iam,9343,"rays , not seen or felt , which change our bodies .",0.8346713,-10.540338
1,1,0.999954342842102,emuru,8476,"alive , dipped in treacle and swallowed",8.684266,35.112827
